employee_id,period_start,attrition_in_3m,termination_date,risk_score_at_period,had_intervention_this_period
E00160,2024-01-01,0,,0.633092,0
E00161,2024-01-01,0,,0.723944,0
E00162,2024-01-01,0,,0.737622,0
E00163,2024-01-01,0,,0.611467,0
E00164,2024-01-01,0,,0.52481,0
E00165,2024-01-01,0,,0.746441,0
E00166,2024-01-01,0,,0.838553,0
E00167,2024-01-01,0,,0.788542,0
E00168,2024-01-01,0,,0.36214,0
E00169,2024-01-01,0,,0.826738,0
E00170,2024-01-01,0,,0.720736,0
E00171,2024-01-01,0,,0.762095,0
E00172,2024-01-01,0,,0.724558,0
E00173,2024-01-01,0,,0.7001,0
E00174,2024-01-01,0,,0.557847,0
E00175,2024-01-01,0,,0.658895,0
E00176,2024-01-01,0,,0.836974,0
E00177,2024-01-01,0,,0.677215,0
E00178,2024-01-01,0,,0.838871,0
E00179,2024-01-01,0,,0.62448,0
E00180,2024-01-01,0,,0.610165,0
E00181,2024-01-01,0,,0.603808,0
E00182,2024-01-01,0,,0.853893,1
E00183,2024-01-01,0,,0.640612,0
E00184,2024-01-01,0,,0.682886,0
E00185,2024-01-01,0,,0.837616,0
E00186,2024-01-01,0,,0.567617,0
E00187,2024-01-01,0,,0.627252,0
E00188,2024-01-01,0,,0.813208,1
E00189,2024-01-01,0,,0.626838,0
E00190,2024-01-01,0,,0.754498,0
E00191,2024-01-01,0,,0.65277,0
E00192,2024-01-01,0,,0.818398,0
E00193,2024-01-01,0,,0.5937,0
E00194,2024-01-01,0,,0.804274,1
E00195,2024-01-01,1,2024-01-06,0.83936,0
E00196,2024-01-01,0,,0.617934,0
E00197,2024-01-01,0,,0.487995,0
E00198,2024-01-01,0,,0.751119,0
E00199,2024-01-01,0,,0.561764,0
E00200,2024-01-01,0,,0.78476,0
E00201,2024-01-01,0,,0.5926,0
E00202,2024-01-01,0,,0.814897,0
E00203,2024-01-01,0,,0.715168,0
E00204,2024-01-01,0,,0.588991,0
E00205,2024-01-01,0,,0.627226,0
E00206,2024-01-01,0,,0.689366,0
E00207,2024-01-01,0,,0.594105,0
E00208,2024-01-01,1,2024-03-10,0.622773,0
E00209,2024-01-01,0,,0.905807,1
E00210,2024-01-01,0,,0.651892,0
E00211,2024-01-01,0,,0.616211,0
E00212,2024-01-01,1,2024-03-31,0.73823,0
E00213,2024-01-01,0,,0.659463,0
E00214,2024-01-01,0,,0.734845,0
E00215,2024-01-01,0,,0.59295,0
E00216,2024-01-01,0,,0.755342,0
E00217,2024-01-01,0,,0.800958,1
E00218,2024-01-01,0,,0.747201,0
E00219,2024-01-01,0,,0.704139,0
E00220,2024-01-01,0,,0.81647,1
E00221,2024-01-01,0,,0.785472,1
E00222,2024-01-01,0,,0.793296,0
E00223,2024-01-01,0,,0.491261,0
E00224,2024-01-01,0,,0.649583,0
E00225,2024-01-01,0,,0.86676,1
E00226,2024-01-01,0,,0.782705,0
E00227,2024-01-01,0,,0.797347,0
E00228,2024-01-01,0,,0.859657,0
E00229,2024-01-01,0,,0.577256,0
E00230,2024-01-01,0,,0.81914,1
E00231,2024-01-01,0,,0.762536,0
E00232,2024-01-01,0,,0.440481,0
E00233,2024-01-01,0,,0.718534,0
E00234,2024-01-01,1,2024-01-25,0.752245,0
E00235,2024-01-01,0,,0.751795,0
E00236,2024-01-01,0,,0.731926,0
E00237,2024-01-01,0,,0.660443,0
E00238,2024-01-01,0,,0.81196,0
E00239,2024-01-01,0,,0.608253,0
E00240,2024-01-01,0,,0.804645,1
E00241,2024-01-01,0,,0.694866,0
E00242,2024-01-01,0,,0.730982,0
E00243,2024-01-01,0,,0.773594,0
E00244,2024-01-01,0,,0.723887,0
E00245,2024-01-01,0,,0.720082,0
E00246,2024-01-01,0,,0.819867,1
E00247,2024-01-01,0,,0.695713,0
E00248,2024-01-01,0,,0.740837,0
E00249,2024-01-01,0,,0.78675,1
E00250,2024-01-01,0,,0.694522,0
E00251,2024-01-01,0,,0.830691,1
E00252,2024-01-01,0,,0.711531,0
E00253,2024-01-01,0,,0.794522,1
E00254,2024-01-01,0,,0.497772,0
E00255,2024-01-01,0,,0.656601,0
E00256,2024-01-01,1,2024-02-09,0.686122,0
E00257,2024-01-01,0,,0.700587,0
E00258,2024-01-01,0,,0.81316,1
E00259,2024-01-01,0,,0.643142,0
E00260,2024-01-01,0,,0.400754,0
E00261,2024-01-01,0,,0.817796,0
E00262,2024-01-01,0,,0.509394,0
E00263,2024-01-01,0,,0.652375,0
E00264,2024-01-01,0,,0.699165,0
E00265,2024-01-01,0,,0.662252,0
E00266,2024-01-01,0,,0.684805,0
E00267,2024-01-01,0,,0.770962,0
E00268,2024-01-01,0,,0.764205,0
E00269,2024-01-01,0,,0.714751,0
E00270,2024-01-01,0,,0.787955,0
E00271,2024-01-01,0,,0.771067,0
E00272,2024-01-01,0,,0.751701,0
E00273,2024-01-01,0,,0.507057,0
E00274,2024-01-01,0,,0.534043,0
E00275,2024-01-01,0,,0.690365,0
E00276,2024-01-01,0,,0.623499,0
E00277,2024-01-01,0,,0.762635,0
E00278,2024-01-01,1,2024-02-18,0.595537,0
E00279,2024-01-01,0,,0.650024,0
E00280,2024-01-01,0,,0.62265,0
E00281,2024-01-01,0,,0.635081,0
E00282,2024-01-01,0,,0.717167,0
E00283,2024-01-01,0,,0.74343,0
E00284,2024-01-01,0,,0.556308,0
E00285,2024-01-01,0,,0.646923,0
E00286,2024-01-01,0,,0.697386,0
E00287,2024-01-01,0,,0.586987,0
E00288,2024-01-01,0,,0.676244,0
E00289,2024-01-01,0,,0.78308,0
E00290,2024-01-01,0,,0.834707,1
E00291,2024-01-01,0,,0.615616,0
E00292,2024-01-01,0,,0.516528,0
E00293,2024-01-01,0,,0.786051,0
E00294,2024-01-01,0,,0.699752,0
E00295,2024-01-01,0,,0.803493,1
E00296,2024-01-01,0,,0.779816,0
E00297,2024-01-01,0,,0.805013,1
E00298,2024-01-01,0,,0.73098,0
E00299,2024-01-01,0,,0.711146,0
E00300,2024-01-01,0,,0.649046,0
E00301,2024-01-01,0,,0.610311,0
E00302,2024-01-01,1,2024-02-10,0.832374,0
E00303,2024-01-01,0,,0.527218,0
E00304,2024-01-01,0,,0.854989,0
E00305,2024-01-01,0,,0.804791,0
E00306,2024-01-01,0,,0.702958,0
E00307,2024-01-01,0,,0.669181,0
E00308,2024-01-01,0,,0.607247,0
E00309,2024-01-01,0,,0.692611,0
E00310,2024-01-01,0,,0.643996,0
E00311,2024-01-01,0,,0.812821,0
E00312,2024-01-01,0,,0.737885,0
E00313,2024-01-01,0,,0.718903,0
E00314,2024-01-01,0,,0.470937,0
E00315,2024-01-01,0,,0.670412,0
E00316,2024-01-01,0,,0.608906,0
E00317,2024-01-01,0,,0.749303,0
E00318,2024-01-01,0,,0.489582,0
E00319,2024-01-01,0,,0.69136,0
E00320,2024-01-01,0,,0.714617,0
E00321,2024-01-01,0,,0.549947,0
E00322,2024-01-01,0,,0.77084,0
E00323,2024-01-01,0,,0.688669,0
E00324,2024-01-01,0,,0.712402,0
E00325,2024-01-01,0,,0.535062,0
E00326,2024-01-01,0,,0.531793,0
E00327,2024-01-01,0,,0.76938,0
E00328,2024-01-01,0,,0.713204,0
E00329,2024-01-01,0,,0.628659,0
E00330,2024-01-01,0,,0.776432,0
E00331,2024-01-01,0,,0.837596,1
E00332,2024-01-01,0,,0.608156,0
E00333,2024-01-01,1,2024-03-26,0.655638,0
E00334,2024-01-01,0,,0.82459,1
E00335,2024-01-01,1,2024-02-27,0.850418,0
E00336,2024-01-01,0,,0.542091,0
E00337,2024-01-01,0,,0.692469,0
E00338,2024-01-01,0,,0.524499,0
E00339,2024-01-01,0,,0.717619,0
E00340,2024-01-01,0,,0.668459,0
E00341,2024-01-01,0,,0.776628,0
E00342,2024-01-01,0,,0.789062,1
E00343,2024-01-01,0,,0.698356,0
E00344,2024-01-01,0,,0.85332,0
E00345,2024-01-01,0,,0.680674,0
E00346,2024-01-01,0,,0.765137,0
E00347,2024-01-01,0,,0.736732,0
E00348,2024-01-01,0,,0.770306,0
E00349,2024-01-01,0,,0.682205,0
E00350,2024-01-01,0,,0.622026,0
E00351,2024-01-01,0,,0.738496,0
E00352,2024-01-01,0,,0.592499,0
E00353,2024-01-01,0,,0.784408,1
E00354,2024-01-01,0,,0.781387,1
E00355,2024-01-01,0,,0.803153,1
E00356,2024-01-01,0,,0.690321,0
E00357,2024-01-01,0,,0.451824,0
E00358,2024-01-01,0,,0.835648,0
E00359,2024-01-01,0,,0.673261,0
E00360,2024-01-01,0,,0.698675,0
E00361,2024-01-01,0,,0.496218,0
E00362,2024-01-01,0,,0.692347,0
E00363,2024-01-01,0,,0.655102,0
E00364,2024-01-01,1,2024-03-26,0.759428,0
E00365,2024-01-01,0,,0.690093,0
E00366,2024-01-01,0,,0.567034,0
E00367,2024-01-01,0,,0.701261,0
E00368,2024-01-01,0,,0.655323,0
E00369,2024-01-01,0,,0.745192,0
E00370,2024-01-01,0,,0.660081,0
E00371,2024-01-01,0,,0.855296,0
E00372,2024-01-01,0,,0.643711,0
E00373,2024-01-01,0,,0.711549,0
E00374,2024-01-01,0,,0.764052,0
E00375,2024-01-01,0,,0.609811,0
E00376,2024-01-01,0,,0.63846,0
E00377,2024-01-01,0,,0.689946,0
E00378,2024-01-01,0,,0.725843,0
E00379,2024-01-01,0,,0.723043,0
E00380,2024-01-01,0,,0.708664,0
E00381,2024-01-01,0,,0.634129,0
E00382,2024-01-01,0,,0.691254,0
E00383,2024-01-01,0,,0.579496,0
E00384,2024-01-01,0,,0.545953,0
E00385,2024-01-01,0,,0.697235,0
E00386,2024-01-01,0,,0.776392,1
E00387,2024-01-01,0,,0.722621,0
E00388,2024-01-01,0,,0.522956,0
E00389,2024-01-01,0,,0.733665,0
E00390,2024-01-01,0,,0.809561,1
E00391,2024-01-01,0,,0.726868,0
E00392,2024-01-01,0,,0.834652,1
E00393,2024-01-01,0,,0.748395,0
E00394,2024-01-01,0,,0.606125,0
E00395,2024-01-01,0,,0.863815,1
E00396,2024-01-01,0,,0.549731,0
E00397,2024-01-01,0,,0.63681,0
E00398,2024-01-01,0,,0.671698,0
E00399,2024-01-01,0,,0.685182,0
E00400,2024-01-01,0,,0.694442,0
E00401,2024-01-01,0,,0.767452,0
E00402,2024-01-01,0,,0.744649,0
E00403,2024-01-01,0,,0.700449,0
E00404,2024-01-01,0,,0.729547,0
E00405,2024-01-01,0,,0.689104,0
E00406,2024-01-01,0,,0.780469,1
E00407,2024-01-01,0,,0.62577,0
E00408,2024-01-01,0,,0.788711,0
E00409,2024-01-01,0,,0.751506,0
E00410,2024-01-01,0,,0.747549,0
E00411,2024-01-01,0,,0.679074,0
E00412,2024-01-01,0,,0.635854,0
E00413,2024-01-01,0,,0.836584,1
E00414,2024-01-01,0,,0.59764,0
E00415,2024-01-01,0,,0.4746,0
E00416,2024-01-01,0,,0.637896,0
E00417,2024-01-01,0,,0.612661,0
E00418,2024-01-01,1,2024-03-05,0.70022,0
E00419,2024-01-01,0,,0.751,0
E00420,2024-01-01,0,,0.60595,0
E00421,2024-01-01,0,,0.7136,0
E00422,2024-01-01,0,,0.566249,0
E00423,2024-01-01,0,,0.642971,0
E00424,2024-01-01,0,,0.574122,0
E00425,2024-01-01,0,,0.64883,0
E00426,2024-01-01,0,,0.317372,0
E00427,2024-01-01,0,,0.773385,0
E00428,2024-01-01,0,,0.85663,1
E00429,2024-01-01,0,,0.817092,1
E00430,2024-01-01,0,,0.68586,0
E00431,2024-01-01,0,,0.65833,0
E00432,2024-01-01,0,,0.683151,0
E00433,2024-01-01,0,,0.774294,1
E00434,2024-01-01,0,,0.734256,0
E00435,2024-01-01,0,,0.612183,0
E00436,2024-01-01,0,,0.458801,0
E00437,2024-01-01,0,,0.703873,0
E00438,2024-01-01,0,,0.653456,0
E00439,2024-01-01,0,,0.607605,0
E00440,2024-01-01,0,,0.83042,1
E00441,2024-01-01,0,,0.749775,0
E00442,2024-01-01,0,,0.717636,0
E00443,2024-01-01,0,,0.787562,0
E00444,2024-01-01,0,,0.692137,0
E00445,2024-01-01,0,,0.683501,0
E00446,2024-01-01,0,,0.697676,0
E00447,2024-01-01,0,,0.535929,0
E00448,2024-01-01,0,,0.692685,0
E00449,2024-01-01,0,,0.671211,0
E00450,2024-01-01,0,,0.415333,0
E00451,2024-01-01,0,,0.684144,0
E00452,2024-01-01,0,,0.67448,0
E00453,2024-01-01,0,,0.633754,0
E00454,2024-01-01,0,,0.625311,0
E00455,2024-01-01,0,,0.741715,0
E00456,2024-01-01,0,,0.603915,0
E00457,2024-01-01,0,,0.45524,0
E00458,2024-01-01,0,,0.76701,0
E00459,2024-01-01,1,2024-01-18,0.782056,0
E00460,2024-01-01,0,,0.673546,0
E00461,2024-01-01,0,,0.732664,0
E00462,2024-01-01,0,,0.752248,0
E00463,2024-01-01,0,,0.766423,0
E00464,2024-01-01,0,,0.694013,0
E00465,2024-01-01,0,,0.838247,1
E00466,2024-01-01,0,,0.463188,0
E00467,2024-01-01,0,,0.772957,0
E00468,2024-01-01,0,,0.787992,0
E00469,2024-01-01,0,,0.794545,0
E00470,2024-01-01,0,,0.56992,0
E00471,2024-01-01,1,2024-01-11,0.8796,0
E00472,2024-01-01,0,,0.746069,0
E00473,2024-01-01,0,,0.858357,1
E00474,2024-01-01,0,,0.686426,0
E00475,2024-01-01,0,,0.830619,0
E00476,2024-01-01,0,,0.690716,0
E00477,2024-01-01,0,,0.731706,0
E00478,2024-01-01,0,,0.779529,0
E00479,2024-01-01,0,,0.659344,0
E00480,2024-01-01,0,,0.756252,1
E00481,2024-01-01,0,,0.654186,0
E00482,2024-01-01,0,,0.63076,0
E00483,2024-01-01,0,,0.747782,0
E00484,2024-01-01,0,,0.79595,0
E00485,2024-01-01,0,,0.68586,0
E00486,2024-01-01,0,,0.626913,0
E00487,2024-01-01,0,,0.675424,0
E00488,2024-01-01,0,,0.631766,0
E00489,2024-01-01,0,,0.543246,0
E00490,2024-01-01,0,,0.707126,0
E00491,2024-01-01,0,,0.629354,0
E00492,2024-01-01,0,,0.704464,0
E00493,2024-01-01,0,,0.739105,0
E00494,2024-01-01,0,,0.761979,0
E00495,2024-01-01,0,,0.70501,0
E00496,2024-01-01,0,,0.703717,0
E00497,2024-01-01,0,,0.72218,0
E00498,2024-01-01,0,,0.703444,0
E00499,2024-01-01,0,,0.801986,1
E00500,2024-01-01,0,,0.747809,0
E00001,2024-02-01,0,,0.667426,0
E00002,2024-02-01,0,,0.537694,0
E00003,2024-02-01,0,,0.765176,0
E00004,2024-02-01,0,,0.682047,0
E00005,2024-02-01,0,,0.784271,0
E00006,2024-02-01,0,,0.672843,0
E00007,2024-02-01,0,,0.674215,0
E00008,2024-02-01,0,,0.701802,0
E00009,2024-02-01,0,,0.730381,0
E00010,2024-02-01,0,,0.733421,0
E00011,2024-02-01,0,,0.803482,0
E00012,2024-02-01,0,,0.778982,0
E00013,2024-02-01,0,,0.574527,0
E00014,2024-02-01,0,,0.463836,0
E00015,2024-02-01,0,,0.78148,0
E00016,2024-02-01,0,,0.709876,0
E00017,2024-02-01,0,,0.797427,0
E00018,2024-02-01,0,,0.669659,0
E00019,2024-02-01,0,,0.57103,0
E00020,2024-02-01,0,,0.627332,0
E00022,2024-02-01,0,,0.644303,0
E00023,2024-02-01,0,,0.775,1
E00024,2024-02-01,0,,0.80521,1
E00025,2024-02-01,0,,0.661316,0
E00026,2024-02-01,0,,0.67005,0
E00027,2024-02-01,0,,0.661065,0
E00028,2024-02-01,0,,0.654874,0
E00029,2024-02-01,0,,0.66534,0
E00030,2024-02-01,0,,0.859445,0
E00031,2024-02-01,0,,0.777613,0
E00032,2024-02-01,0,,0.742777,0
E00033,2024-02-01,0,,0.781793,1
E00034,2024-02-01,0,,0.825411,0
E00035,2024-02-01,0,,0.726482,0
E00037,2024-02-01,0,,0.431751,0
E00038,2024-02-01,0,,0.746111,0
E00039,2024-02-01,0,,0.778844,0
E00040,2024-02-01,0,,0.738298,0
E00041,2024-02-01,0,,0.604019,0
E00042,2024-02-01,0,,0.714236,0
E00043,2024-02-01,0,,0.763869,1
E00044,2024-02-01,0,,0.770369,0
E00045,2024-02-01,0,,0.797518,0
E00046,2024-02-01,0,,0.711473,0
E00047,2024-02-01,0,,0.768065,1
E00048,2024-02-01,0,,0.681929,0
E00049,2024-02-01,0,,0.748525,0
E00050,2024-02-01,0,,0.829041,0
E00051,2024-02-01,0,,0.776338,0
E00052,2024-02-01,0,,0.755174,0
E00053,2024-02-01,0,,0.695875,0
E00054,2024-02-01,0,,0.42316,0
E00055,2024-02-01,0,,0.750544,0
E00056,2024-02-01,0,,0.634303,0
E00057,2024-02-01,0,,0.619143,0
E00058,2024-02-01,0,,0.661724,0
E00059,2024-02-01,0,,0.699693,0
E00060,2024-02-01,0,,0.786436,0
E00061,2024-02-01,0,,0.693169,0
E00062,2024-02-01,0,,0.612589,0
E00063,2024-02-01,0,,0.608882,0
E00064,2024-02-01,0,,0.860166,1
E00065,2024-02-01,0,,0.72688,0
E00067,2024-02-01,0,,0.893937,1
E00068,2024-02-01,0,,0.692028,0
E00069,2024-02-01,0,,0.938698,0
E00070,2024-02-01,0,,0.854341,1
E00071,2024-02-01,0,,0.772616,0
E00072,2024-02-01,0,,0.646084,0
E00073,2024-02-01,0,,0.792175,0
E00074,2024-02-01,0,,0.66664,0
E00075,2024-02-01,0,,0.596492,0
E00076,2024-02-01,1,2024-03-07,0.756938,0
E00078,2024-02-01,0,,0.753604,0
E00079,2024-02-01,0,,0.655586,0
E00080,2024-02-01,0,,0.559552,0
E00082,2024-02-01,0,,0.793083,0
E00083,2024-02-01,0,,0.737084,0
E00084,2024-02-01,0,,0.71158,0
E00085,2024-02-01,0,,0.806426,0
E00086,2024-02-01,0,,0.831353,0
E00087,2024-02-01,0,,0.714552,0
E00088,2024-02-01,0,,0.862845,1
E00089,2024-02-01,0,,0.674967,0
E00090,2024-02-01,0,,0.652475,0
E00091,2024-02-01,0,,0.658093,0
E00092,2024-02-01,0,,0.682043,0
E00093,2024-02-01,0,,0.853906,1
E00094,2024-02-01,0,,0.603116,0
E00095,2024-02-01,0,,0.691631,0
E00096,2024-02-01,0,,0.872373,1
E00097,2024-02-01,0,,0.633465,0
E00098,2024-02-01,1,2024-02-06,0.735888,0
E00099,2024-02-01,0,,0.67287,0
E00100,2024-02-01,0,,0.703615,0
E00101,2024-02-01,0,,0.694293,0
E00102,2024-02-01,0,,0.72581,0
E00104,2024-02-01,0,,0.803461,0
E00105,2024-02-01,1,2024-03-14,0.755549,0
E00106,2024-02-01,0,,0.692563,0
E00107,2024-02-01,0,,0.729616,0
E00108,2024-02-01,1,2024-03-26,0.693666,0
E00109,2024-02-01,0,,0.845276,1
E00110,2024-02-01,0,,0.610089,0
E00111,2024-02-01,0,,0.705154,0
E00112,2024-02-01,0,,0.719567,0
E00113,2024-02-01,1,2024-03-05,0.837502,1
E00114,2024-02-01,0,,0.47825,0
E00116,2024-02-01,0,,0.830807,1
E00117,2024-02-01,0,,0.778894,0
E00118,2024-02-01,0,,0.684084,0
E00119,2024-02-01,0,,0.793332,1
E00120,2024-02-01,0,,0.605605,0
E00121,2024-02-01,0,,0.827982,1
E00122,2024-02-01,0,,0.598725,0
E00123,2024-02-01,0,,0.756364,0
E00124,2024-02-01,0,,0.687801,0
E00125,2024-02-01,0,,0.583273,0
E00126,2024-02-01,0,,0.358474,0
E00127,2024-02-01,0,,0.706876,0
E00128,2024-02-01,0,,0.776389,0
E00129,2024-02-01,0,,0.821041,1
E00130,2024-02-01,0,,0.79051,0
E00131,2024-02-01,0,,0.728024,0
E00132,2024-02-01,1,2024-04-02,0.816372,1
E00133,2024-02-01,0,,0.850576,1
E00134,2024-02-01,0,,0.719072,0
E00135,2024-02-01,0,,0.667226,0
E00136,2024-02-01,0,,0.585411,0
E00137,2024-02-01,0,,0.822598,0
E00138,2024-02-01,0,,0.696428,0
E00139,2024-02-01,0,,0.743922,0
E00140,2024-02-01,0,,0.828187,0
E00141,2024-02-01,0,,0.724794,0
E00142,2024-02-01,0,,0.779437,0
E00143,2024-02-01,0,,0.763496,0
E00144,2024-02-01,0,,0.829055,1
E00145,2024-02-01,0,,0.542729,0
E00146,2024-02-01,0,,0.718915,0
E00147,2024-02-01,0,,0.710818,0
E00149,2024-02-01,0,,0.717704,0
E00150,2024-02-01,0,,0.732399,0
E00152,2024-02-01,0,,0.858893,0
E00154,2024-02-01,0,,0.629121,0
E00155,2024-02-01,0,,0.633061,0
E00156,2024-02-01,0,,0.675104,0
E00157,2024-02-01,0,,0.71496,0
E00158,2024-02-01,0,,0.767069,1
E00159,2024-02-01,0,,0.737863,0
E00160,2024-02-01,0,,0.795194,1
E00161,2024-02-01,0,,0.769817,0
E00162,2024-02-01,0,,0.645852,0
E00163,2024-02-01,0,,0.735845,0
E00164,2024-02-01,0,,0.620087,0
