employee_id,period_start,business_unit_id,job_family,job_level,tenure_years,engagement_score,performance_rating,compa_ratio,workload_index,manager_change_flag,attrition_risk_score,attrition_in_3m,termination_date,had_intervention_this_period,base_salary,replacement_cost_estimate,intervention_type,intervention_cost,expected_mechanism
E00025,2024-01-01,BU10,IT,IC1,9.993,0.709,3.36,0.6,0.478,0,,0.2,,0.0,43757,82469.02,,,
E00026,2024-01-01,BU07,IT,IC1,0.504,0.49,3.02,0.674,0.584,0,,0.2,,0.0,43226,85345.7,,,
E00027,2024-01-01,BU01,IT,IC1,4.4,0.544,3.36,1.046,0.537,0,,0.2,,0.0,67753,127066.34,,,
E00028,2024-01-01,BU07,IT,IC1,1.446,0.624,3.44,0.6,0.65,0,,0.2,,0.0,59461,117874.44,,,
E00029,2024-01-01,BU10,IT,IC1,9.596,0.659,3.73,0.706,0.654,1,,0.2,,0.0,48134,120409.67,,,
E00030,2024-01-01,BU05,IT,IC1,0.0,0.539,3.98,0.6,0.662,0,,0.2,,0.0,34820,121393.78,,,
E00031,2024-01-01,BU06,IT,IC1,0.0,0.616,3.9,0.6,0.529,0,,0.2,,0.0,62141,262148.62,,,
E00032,2024-01-01,BU10,IT,IC1,0.482,0.466,4.03,0.6,0.728,0,,0.2,,0.0,50800,83286.25,,,
E00033,2024-01-01,BU07,IT,IC1,7.491,0.656,3.01,0.6,0.334,0,,0.2,,0.0,55918,79412.91,,,
E00034,2024-01-01,BU05,IT,IC1,3.296,0.613,3.41,0.898,0.504,0,,0.2,,0.0,66611,69336.57,,,
E00035,2024-01-01,BU07,IT,IC1,6.762,0.633,2.78,0.6,0.526,0,,0.2,,0.0,24944,131941.8,,,
E00036,2024-01-01,BU09,IT,IC1,1.328,0.561,3.15,0.6,0.374,0,,0.2,2024-01-31,0.0,35009,166202.63,,,
E00037,2024-01-01,BU03,IT,IC1,7.945,0.558,3.18,1.6,0.571,0,,0.2,,0.0,133754,95001.61,,,
E00038,2024-01-01,BU08,IT,IC1,5.988,0.424,3.53,0.6,0.56,0,,0.2,,0.0,50146,68518.23,,,
E00039,2024-01-01,BU02,IT,IC1,7.74,0.37,3.25,0.6,0.389,0,,0.2,,0.0,24807,69003.25,,,
E00040,2024-01-01,BU07,IT,IC1,3.283,0.586,3.45,0.6,0.634,0,,0.2,,0.0,36045,134013.02,,,
E00041,2024-01-01,BU02,IT,IC1,5.514,0.502,2.99,1.6,0.643,0,,0.2,,0.0,142852,139719.18,,,
E00042,2024-01-01,BU04,IT,IC1,1.131,0.522,3.83,0.6,0.829,0,,0.2,,0.0,46815,127687.98,,,
E00043,2024-01-01,BU07,IT,IC1,3.767,0.562,2.92,0.6,0.518,0,,0.2,,0.0,89828,74120.4,,,
E00044,2024-01-01,BU03,IT,IC1,8.991,0.383,3.34,0.739,0.819,0,,0.0,,1.0,62467,111012.5,retention_bonus,3500.0,short_term_retention
E00045,2024-01-01,BU02,IT,IC1,6.686,0.51,3.69,0.6,0.455,0,,0.2,,0.0,50527,105391.16,,,
E00046,2024-01-01,BU10,IT,IC1,1.051,0.494,3.44,0.694,0.63,0,,0.2,,0.0,78543,110341.49,,,
E00047,2024-01-01,BU07,IT,IC1,8.309,0.567,2.91,0.6,0.655,0,,0.2,,0.0,25990,148014.93,,,
E00048,2024-01-01,BU01,IT,IC1,0.772,0.644,3.17,0.6,0.606,0,,0.2,,0.0,36156,110585.41,,,
E00049,2024-01-01,BU08,IT,IC1,1.038,0.49,3.56,0.6,0.556,0,,0.2,,0.0,50397,135731.86,,,
E00050,2024-01-01,BU03,IT,IC1,0.315,0.5,3.03,0.6,0.563,0,,0.0,,1.0,37421,103087.77,retention_bonus,3500.0,short_term_retention
E00051,2024-01-01,BU02,IT,IC1,5.484,0.476,3.55,0.6,0.558,0,,0.2,,0.0,48861,113894.65,,,
E00052,2024-01-01,BU03,IT,IC1,8.068,0.64,3.23,1.08,0.77,0,,0.2,,0.0,80725,132853.88,,,
E00053,2024-01-01,BU05,IT,IC1,6.732,0.542,3.0,0.6,0.767,0,,0.2,,0.0,62708,51906.81,,,
E00054,2024-01-01,BU08,IT,IC1,3.8,0.438,3.4,1.464,0.551,0,,0.2,,0.0,95389,86601.59,,,
E00055,2024-01-01,BU10,IT,IC1,2.201,0.503,3.75,0.6,0.571,0,,0.2,,0.0,64112,80923.36,,,
E00056,2024-01-01,BU07,IT,IC1,7.655,0.534,3.49,1.074,0.614,0,,0.2,,0.0,84742,75014.03,,,
E00057,2024-01-01,BU07,IT,IC1,9.67,0.61,3.26,0.867,0.687,0,,0.2,,0.0,58546,88354.42,,,
E00058,2024-01-01,BU07,IT,IC1,6.776,0.36,3.83,0.721,0.907,0,,0.2,,0.0,48699,195956.71,,,
E00059,2024-01-01,BU08,IT,IC1,8.047,0.569,3.95,1.143,0.625,0,,0.2,,0.0,100529,67731.15,,,
E00060,2024-01-01,BU01,IT,IC1,2.333,0.556,3.2,0.6,0.614,0,,0.2,,0.0,46711,154608.4,,,
E00061,2024-01-01,BU04,IT,IC1,6.686,0.64,4.16,0.6,0.554,0,,0.2,,0.0,67531,46893.49,,,
E00062,2024-01-01,BU06,IT,IC1,8.123,0.51,3.6,1.231,0.608,0,,0.2,,0.0,78364,86010.72,,,
E00063,2024-01-01,BU09,IT,IC1,4.671,0.544,3.36,1.196,0.486,1,,0.2,,0.0,80380,107598.75,,,
E00064,2024-01-01,BU02,IT,IC1,4.715,0.581,3.65,0.6,0.595,0,,0.2,,0.0,39819,130186.79,,,
E00065,2024-01-01,BU01,IT,IC1,0.611,0.5,3.12,1.055,0.634,0,,0.2,,0.0,86524,137719.93,,,
E00066,2024-01-01,BU10,IT,IC1,6.5,0.496,3.14,0.6,0.588,0,,0.0,2024-02-17,1.0,42505,142904.48,comp_adjustment,5000.0,reduce_comp_gap
E00067,2024-01-01,BU02,IT,IC1,4.298,0.577,3.68,0.617,0.831,0,,0.0,,1.0,79519,85476.71,manager_coaching,1200.0,improve_manager_experience
E00068,2024-01-01,BU07,IT,IC1,8.449,0.588,3.25,0.6,0.759,0,,0.2,,0.0,72208,81215.97,,,
E00069,2024-01-01,BU03,IT,IC1,0.652,0.524,3.21,0.639,0.537,0,,0.2,,0.0,79740,147121.58,,,
E00070,2024-01-01,BU10,IT,IC1,8.233,0.623,3.53,0.6,0.441,0,,0.2,,0.0,39271,91751.45,,,
E00071,2024-01-01,BU02,IT,IC1,0.203,0.628,3.89,0.953,0.469,0,,0.2,,0.0,73554,56323.47,,,
E00072,2024-01-01,BU07,IT,IC1,6.486,0.639,3.34,1.052,0.559,0,,0.2,,0.0,87549,60050.8,,,
E00073,2024-01-01,BU02,IT,IC1,2.201,0.57,3.16,0.798,0.8,0,,0.2,,0.0,64067,66116.39,,,
E00074,2024-01-01,BU03,IT,IC1,3.655,0.55,2.8,0.6,0.744,1,,0.2,,0.0,44958,125072.37,,,
E00075,2024-01-01,BU07,IT,IC1,1.823,0.594,2.73,1.324,0.623,0,,0.2,,0.0,82612,106619.0,,,
E00076,2024-01-01,BU04,IT,IC1,2.497,0.451,2.91,0.776,0.573,0,,0.2,,0.0,62310,136440.5,,,
E00077,2024-01-01,BU01,IT,IC1,5.15,0.432,3.08,0.6,0.654,0,,0.2,2024-01-27,0.0,33321,82508.93,,,
E00078,2024-01-01,BU05,IT,IC1,8.118,0.683,2.99,0.604,0.764,0,,0.0,,1.0,43754,107394.94,manager_coaching,1200.0,improve_manager_experience
E00079,2024-01-01,BU09,IT,IC1,5.895,0.467,3.62,0.6,0.733,0,,0.0,,1.0,49801,132513.68,comp_adjustment,5000.0,reduce_comp_gap
E00080,2024-01-01,BU08,IT,IC1,2.059,0.537,3.82,0.911,0.712,0,,0.2,,0.0,101421,87004.88,,,
E00081,2024-01-01,BU09,IT,IC1,0.282,0.465,3.2,1.517,0.988,0,,0.2,2024-03-28,0.0,95374,122819.9,,,
E00082,2024-01-01,BU10,IT,IC1,1.213,0.46,3.72,0.754,0.645,0,,0.2,,0.0,95267,74240.03,,,
E00083,2024-01-01,BU09,IT,IC1,1.213,0.568,3.39,0.613,0.738,0,,0.2,,0.0,64947,84927.33,,,
E00084,2024-01-01,BU07,IT,IC1,9.084,0.686,3.01,1.274,0.651,0,,0.2,,0.0,82434,84216.27,,,
E00085,2024-01-01,BU04,IT,IC1,1.947,0.553,3.55,0.6,0.738,0,,0.2,,0.0,40164,58384.03,,,
E00086,2024-01-01,BU05,IT,IC1,3.567,0.644,3.37,0.764,0.57,0,,0.2,,0.0,60017,124500.26,,,
E00087,2024-01-01,BU01,IT,IC1,1.432,0.606,2.48,1.053,0.654,0,,0.2,,0.0,70128,80958.7,,,
E00088,2024-01-01,BU01,IT,IC1,2.409,0.515,2.93,0.6,0.622,0,,0.0,,1.0,41101,100563.82,retention_bonus,3500.0,short_term_retention
E00089,2024-01-01,BU03,IT,IC1,9.238,0.624,3.26,0.773,0.742,0,,0.2,,0.0,64439,124151.95,,,
E00090,2024-01-01,BU08,IT,IC1,2.267,0.459,3.2,0.956,0.528,0,,0.2,,0.0,108047,122255.02,,,
E00091,2024-01-01,BU02,IT,IC1,2.913,0.485,3.27,0.894,0.753,0,,0.2,,0.0,72807,134908.06,,,
E00092,2024-01-01,BU04,IT,IC1,0.0,0.527,3.83,1.306,0.473,0,,0.2,,0.0,82548,95664.92,,,
E00093,2024-01-01,BU02,IT,IC1,7.179,0.528,2.89,0.6,0.633,0,,0.2,,0.0,25378,82655.88,,,
E00094,2024-01-01,BU05,IT,IC1,9.854,0.576,3.39,1.6,0.568,0,,0.2,,0.0,103289,96476.26,,,
E00095,2024-01-01,BU09,IT,IC1,2.669,0.402,3.55,0.712,0.246,0,,0.2,,0.0,56098,46799.37,,,
E00096,2024-01-01,BU01,IT,IC1,7.661,0.546,3.13,0.6,0.503,0,,0.2,,0.0,45751,52141.94,,,
E00097,2024-01-01,BU05,IT,IC1,7.526,0.519,2.77,0.755,0.563,0,,0.2,,0.0,56324,55144.41,,,
E00098,2024-01-01,BU09,IT,IC1,9.834,0.56,2.91,0.6,0.636,0,,0.2,,0.0,35605,63841.86,,,
E00099,2024-01-01,BU01,IT,IC1,0.0,0.497,3.24,1.322,0.544,0,,0.2,,0.0,86403,119709.57,,,
E00100,2024-01-01,BU09,IT,IC1,5.988,0.484,3.23,0.786,0.603,0,,0.2,,0.0,53242,66533.44,,,
E00101,2024-01-01,BU08,IT,IC1,0.515,0.523,3.68,0.699,0.547,0,,0.2,,0.0,46234,84351.87,,,
E00102,2024-01-01,BU04,IT,IC1,3.726,0.586,3.22,0.6,0.679,0,,0.0,,1.0,56454,179436.78,role_transfer,800.0,increase_internal_mobility_fit
E00103,2024-01-01,BU10,IT,IC1,0.999,0.574,3.68,1.394,0.469,0,,0.2,2024-01-15,0.0,88548,85187.22,,,
E00104,2024-01-01,BU05,IT,IC1,1.446,0.425,3.03,0.816,0.384,0,,0.2,,0.0,62693,139358.84,,,
E00105,2024-01-01,BU05,IT,IC1,3.318,0.504,3.12,0.6,0.519,0,,0.2,,0.0,36556,65696.28,,,
E00106,2024-01-01,BU06,IT,IC1,1.719,0.765,3.18,0.868,0.455,0,,0.2,,0.0,70456,91169.76,,,
E00107,2024-01-01,BU07,IT,IC1,2.713,0.469,4.18,0.694,0.592,0,,0.2,,0.0,43255,65213.09,,,
E00108,2024-01-01,BU08,IT,IC1,8.578,0.658,3.1,0.6,0.616,0,,0.2,,0.0,28152,85850.32,,,
E00109,2024-01-01,BU08,IT,IC1,9.051,0.578,3.25,0.84,0.77,0,,0.2,,0.0,101073,145956.53,,,
E00110,2024-01-01,BU02,IT,IC1,3.773,0.518,3.87,0.699,0.515,0,,0.2,,0.0,70265,45964.81,,,
E00111,2024-01-01,BU09,IT,IC1,3.031,0.609,3.47,0.727,0.618,0,,0.2,,0.0,58256,121590.74,,,
E00112,2024-01-01,BU07,IT,IC1,2.522,0.516,3.54,0.762,0.547,0,,0.2,,0.0,53052,111291.31,,,
E00113,2024-01-01,BU04,IT,IC1,5.465,0.752,2.96,0.763,0.722,0,,0.2,,0.0,97634,76539.18,,,
E00114,2024-01-01,BU04,IT,IC1,7.146,0.601,3.28,1.6,0.687,0,,0.2,,0.0,176399,52166.69,,,
E00115,2024-01-01,BU08,IT,IC1,2.24,0.506,3.71,0.845,0.66,0,,0.2,2024-03-28,0.0,70058,103299.08,,,
E00116,2024-01-01,BU04,IT,IC1,4.214,0.748,3.67,0.6,0.513,0,,0.2,,0.0,41757,78798.86,,,
E00117,2024-01-01,BU06,IT,IC1,0.0,0.382,4.02,0.699,0.45,0,,0.2,,0.0,56723,111038.22,,,
E00118,2024-01-01,BU05,IT,IC1,7.472,0.524,3.59,0.937,0.702,0,,0.2,,0.0,69613,100988.2,,,
E00119,2024-01-01,BU03,IT,IC1,9.804,0.511,3.48,0.6,0.649,0,,0.2,,0.0,26309,205607.84,,,
E00120,2024-01-01,BU10,IT,IC1,7.912,0.655,3.28,1.034,0.616,0,,0.2,,0.0,67311,89788.79,,,
E00121,2024-01-01,BU02,IT,IC1,5.013,0.484,3.11,0.6,0.724,0,,0.2,,0.0,69755,63092.15,,,
E00122,2024-01-01,BU09,IT,IC1,7.201,0.576,3.51,0.988,0.464,0,,0.2,,0.0,95246,108401.75,,,
E00123,2024-01-01,BU10,IT,IC1,9.703,0.583,3.6,0.956,0.519,0,,0.2,,0.0,91834,110406.47,,,
E00124,2024-01-01,BU09,IT,IC1,5.076,0.506,3.14,1.013,0.564,0,,0.2,,0.0,62250,184344.19,,,
E00125,2024-01-01,BU01,IT,IC1,0.411,0.522,2.59,1.574,0.582,0,,0.2,,0.0,101735,145615.6,,,
E00126,2024-01-01,BU10,IT,IC1,3.264,0.609,2.95,1.56,0.437,0,,0.2,,0.0,122087,117420.58,,,
E00127,2024-01-01,BU03,IT,IC1,3.474,0.614,3.08,0.6,0.318,0,,0.2,,0.0,60463,193186.59,,,
E00128,2024-01-01,BU08,IT,IC1,0.0,0.532,3.29,0.882,0.692,0,,0.0,,1.0,69311,58570.25,manager_coaching,1200.0,improve_manager_experience
E00129,2024-01-01,BU06,IT,IC1,1.826,0.527,3.38,0.6,0.436,0,,0.2,,0.0,32256,74984.54,,,
E00130,2024-01-01,BU05,IT,IC1,0.033,0.584,2.97,0.6,0.746,0,,0.2,,0.0,36032,65904.78,,,
E00131,2024-01-01,BU05,IT,IC1,0.307,0.61,3.53,0.689,0.687,0,,0.2,,0.0,44651,83910.92,,,
E00132,2024-01-01,BU06,IT,IC1,7.058,0.651,3.49,0.6,0.561,0,,0.2,,0.0,51263,53820.88,,,
E00133,2024-01-01,BU07,IT,IC1,3.981,0.434,3.02,0.708,0.734,0,,0.0,,1.0,40797,133085.01,retention_bonus,3500.0,short_term_retention
E00134,2024-01-01,BU01,IT,IC1,9.32,0.638,3.14,0.6,0.607,0,,0.2,,0.0,59125,90483.72,,,
E00135,2024-01-01,BU09,IT,IC1,6.404,0.559,3.14,0.645,0.599,0,,0.2,,0.0,51803,51588.94,,,
E00136,2024-01-01,BU03,IT,IC1,6.979,0.707,3.14,1.322,0.783,0,,0.2,,0.0,87100,63317.36,,,
E00137,2024-01-01,BU04,IT,IC1,5.525,0.592,3.23,0.653,0.733,0,,0.2,,0.0,50708,115151.82,,,
E00138,2024-01-01,BU10,IT,IC1,3.63,0.607,3.92,0.6,0.573,0,,0.2,,0.0,26894,145813.32,,,
E00139,2024-01-01,BU01,IT,IC1,3.515,0.588,2.95,0.661,0.489,0,,0.2,,0.0,62568,245598.75,,,
E00140,2024-01-01,BU10,IT,IC1,0.0,0.553,3.64,0.618,0.511,0,,0.2,,0.0,59577,300000.0,,,
E00141,2024-01-01,BU03,IT,IC1,6.056,0.534,3.0,0.6,0.533,0,,0.2,,0.0,44280,120500.56,,,
E00142,2024-01-01,BU02,IT,IC1,3.639,0.564,3.33,0.93,0.641,0,,0.2,,0.0,61898,64063.71,,,
E00143,2024-01-01,BU02,IT,IC1,0.0,0.46,3.31,0.683,0.869,0,,0.2,,0.0,41096,38311.47,,,
E00144,2024-01-01,BU01,IT,IC1,7.636,0.564,3.4,1.073,0.458,0,,0.2,,0.0,67201,112802.71,,,
E00145,2024-01-01,BU08,IT,IC1,4.148,0.562,2.75,1.553,0.31,0,,0.2,,0.0,150471,69362.52,,,
E00146,2024-01-01,BU03,IT,IC1,8.038,0.564,2.73,0.6,0.629,0,,0.0,,1.0,31826,82951.78,manager_coaching,1200.0,improve_manager_experience
E00147,2024-01-01,BU03,IT,IC1,0.605,0.498,3.46,0.663,0.695,0,,0.2,,0.0,49977,75923.53,,,
E00148,2024-01-01,BU06,IT,IC1,1.752,0.556,2.91,0.731,0.566,0,,0.2,2024-02-24,0.0,47251,93860.94,,,
E00149,2024-01-01,BU08,IT,IC1,5.799,0.575,3.08,0.6,0.516,0,,0.0,,1.0,51450,161557.53,manager_coaching,1200.0,improve_manager_experience
E00150,2024-01-01,BU09,IT,IC1,4.819,0.575,2.66,0.829,0.644,0,,0.2,,0.0,85560,107322.9,,,
E00151,2024-01-01,BU09,IT,IC1,6.678,0.63,3.76,0.745,0.532,0,,0.2,2024-03-13,0.0,72402,93110.27,,,
E00152,2024-01-01,BU04,IT,IC1,0.0,0.564,3.01,0.745,0.553,1,,0.0,,1.0,80585,62747.96,role_transfer,800.0,increase_internal_mobility_fit
E00153,2024-01-01,BU05,IT,IC1,0.884,0.621,2.65,0.802,0.673,0,,0.0,2024-02-10,1.0,60517,47066.56,comp_adjustment,5000.0,reduce_comp_gap
E00154,2024-01-01,BU02,IT,IC1,3.302,0.801,3.53,0.6,0.663,0,,0.2,,0.0,37694,80345.14,,,
E00155,2024-01-01,BU09,IT,IC1,1.99,0.476,3.72,0.6,0.631,0,,0.2,,0.0,40533,97608.84,,,
E00156,2024-01-01,BU08,IT,IC1,3.959,0.561,3.08,0.849,0.548,0,,0.2,,0.0,77745,221570.02,,,
E00157,2024-01-01,BU03,IT,IC1,9.662,0.66,2.99,0.826,0.407,0,,0.2,,0.0,63563,106037.6,,,
E00158,2024-01-01,BU09,IT,IC1,9.574,0.573,3.79,1.002,0.581,0,,0.2,,0.0,93067,155617.79,,,
E00159,2024-01-01,BU03,IT,IC1,1.522,0.545,3.1,0.603,0.334,0,,0.2,,0.0,66346,79876.94,,,
E00160,2024-01-01,BU09,IT,IC1,0.0,0.541,3.81,0.6,0.576,0,,0.2,,0.0,39575,58671.0,,,
E00161,2024-01-01,BU02,IT,IC1,1.484,0.566,3.2,0.6,0.468,0,,0.2,,0.0,49878,64771.63,,,
E00162,2024-01-01,BU10,IT,IC1,6.308,0.586,3.27,0.862,0.759,0,,0.2,,0.0,72961,72155.14,,,
E00163,2024-01-01,BU09,IT,IC1,1.123,0.557,4.05,0.941,0.677,0,,0.2,,0.0,76774,260598.67,,,
E00164,2024-01-01,BU08,IT,IC1,7.009,0.633,3.51,1.027,0.424,0,,0.2,,0.0,80764,69099.41,,,
E00165,2024-01-01,BU09,IT,IC1,3.181,0.561,3.0,0.6,0.562,0,,0.2,,0.0,41482,145837.11,,,
E00166,2024-01-01,BU05,IT,IC1,4.397,0.576,3.22,0.6,0.589,0,,0.2,,0.0,39326,66609.88,,,
E00167,2024-01-01,BU02,IT,IC1,2.527,0.73,2.8,0.6,0.611,0,,0.2,,0.0,56026,152075.64,,,
E00168,2024-01-01,BU08,IT,IC1,0.0,0.602,4.04,1.487,0.526,0,,0.2,,0.0,99114,118913.71,,,
E00169,2024-01-01,BU06,IT,IC1,1.383,0.49,3.17,0.6,0.706,0,,0.2,,0.0,46964,93193.98,,,
E00170,2024-01-01,BU08,IT,IC1,5.065,0.536,3.88,0.611,0.758,0,,0.2,,0.0,70210,98182.41,,,
E00171,2024-01-01,BU05,IT,IC1,9.648,0.725,3.29,0.796,0.818,0,,0.2,,0.0,70212,74478.89,,,
E00172,2024-01-01,BU10,IT,IC1,7.359,0.614,3.67,0.715,0.789,0,,0.2,,0.0,78141,122229.78,,,
E00173,2024-01-01,BU02,IT,IC1,0.225,0.615,3.39,0.953,0.737,0,,0.2,,0.0,107211,81485.71,,,
E00174,2024-01-01,BU06,IT,IC1,2.023,0.545,3.64,1.37,0.594,0,,0.2,,0.0,103432,57607.2,,,
E00175,2024-01-01,BU05,IT,IC1,0.0,0.585,3.68,0.603,0.411,0,,0.2,,0.0,48625,56266.44,,,
E00176,2024-01-01,BU05,IT,IC1,4.216,0.394,2.87,0.6,0.508,0,,0.2,,0.0,28731,108076.01,,,
E00177,2024-01-01,BU01,IT,IC1,2.407,0.593,3.46,0.6,0.576,0,,0.2,,0.0,47217,203519.38,,,
E00178,2024-01-01,BU02,IT,IC1,1.196,0.555,2.71,0.657,0.488,0,,0.2,,0.0,61481,107465.13,,,
E00179,2024-01-01,BU08,IT,IC1,6.015,0.551,3.8,0.6,0.454,0,,0.2,,0.0,52756,94801.28,,,
E00180,2024-01-01,BU03,IT,IC1,9.878,0.663,2.67,1.6,0.487,0,,0.2,,0.0,119225,113725.99,,,
E00181,2024-01-01,BU10,IT,IC1,9.076,0.616,3.43,1.034,0.526,0,,0.2,,0.0,60269,179984.54,,,
E00182,2024-01-01,BU03,IT,IC1,0.027,0.493,2.75,0.792,0.875,0,,0.0,,1.0,75267,110375.96,retention_bonus,3500.0,short_term_retention
E00183,2024-01-01,BU08,IT,IC1,6.609,0.684,3.57,0.921,0.628,0,,0.2,,0.0,64604,83117.31,,,
E00184,2024-01-01,BU08,IT,IC1,3.266,0.495,3.6,0.834,0.434,0,,0.2,,0.0,53033,164514.73,,,
E00185,2024-01-01,BU02,IT,IC1,8.753,0.569,3.23,0.6,0.618,0,,0.2,,0.0,30525,121281.05,,,
E00186,2024-01-01,BU08,IT,IC1,7.107,0.543,4.16,0.886,0.646,0,,0.2,,0.0,58249,199589.03,,,
E00187,2024-01-01,BU01,IT,IC1,9.525,0.562,3.21,1.6,0.694,0,,0.2,,0.0,187049,108595.03,,,
E00188,2024-01-01,BU06,IT,IC1,5.949,0.476,3.15,0.6,0.554,0,,0.0,,1.0,38733,57636.68,manager_coaching,1200.0,improve_manager_experience
E00189,2024-01-01,BU08,IT,IC1,9.314,0.691,3.86,0.6,0.622,0,,0.2,,0.0,31723,54027.79,,,
E00190,2024-01-01,BU03,IT,IC1,2.96,0.557,2.9,0.962,0.722,0,,0.2,,0.0,117917,210205.95,,,
E00191,2024-01-01,BU08,IT,IC1,9.615,0.598,3.68,1.002,0.764,0,,0.2,,0.0,77632,217200.25,,,
E00192,2024-01-01,BU01,IT,IC1,0.0,0.507,2.99,0.819,0.636,0,,0.2,,0.0,63933,92239.32,,,
E00193,2024-01-01,BU09,IT,IC1,9.062,0.618,2.98,1.43,0.559,0,,0.2,,0.0,96465,84161.36,,,
E00194,2024-01-01,BU09,IT,IC1,8.783,0.545,3.05,0.726,0.634,0,,0.0,,1.0,44756,193025.08,manager_coaching,1200.0,improve_manager_experience
E00195,2024-01-01,BU05,IT,IC1,8.564,0.611,2.69,0.634,0.73,0,,0.2,2024-01-06,0.0,57682,60764.13,,,
E00196,2024-01-01,BU10,IT,IC1,4.89,0.607,3.1,1.251,0.455,0,,0.2,,0.0,83642,66856.13,,,
E00197,2024-01-01,BU04,IT,IC1,3.784,0.682,3.35,1.572,0.702,0,,0.2,,0.0,125320,133575.55,,,
E00198,2024-01-01,BU06,IT,IC1,5.604,0.589,3.56,0.6,0.737,0,,0.2,,0.0,39776,83730.05,,,
E00199,2024-01-01,BU07,IT,IC1,9.279,0.532,3.6,0.981,0.344,0,,0.2,,0.0,93738,99769.78,,,
E00200,2024-01-01,BU05,IT,IC1,9.845,0.481,3.09,1.036,0.762,0,,0.2,,0.0,68435,92909.03,,,
E00201,2024-01-01,BU10,IT,IC1,7.228,0.553,3.95,0.839,0.582,0,,0.2,,0.0,63391,116405.38,,,
E00202,2024-01-01,BU09,IT,IC1,8.413,0.622,2.92,0.6,0.657,0,,0.2,,0.0,59712,188394.28,,,
E00203,2024-01-01,BU03,IT,IC1,5.862,0.661,3.12,0.6,0.597,0,,0.2,,0.0,36878,104160.54,,,
E00204,2024-01-01,BU07,IT,IC1,0.101,0.623,3.2,0.85,0.447,0,,0.2,,0.0,83875,133612.34,,,
