business_unit_id,period_start,revenue,operating_margin_pct,productivity_index,quality_incidents,avg_vacancy_days,headcount_proxy
BU001,2022-09-01,1605306.43,0.059,1.088,2,29.8,65
BU001,2022-10-01,2301750.95,0.162,0.868,5,60.7,38
BU001,2022-11-01,2240133.7,0.241,0.788,1,41.2,25
BU001,2022-12-01,2294061.99,0.169,0.983,2,44.2,67
BU001,2023-01-01,2189020.57,0.189,1.085,2,36.5,51
BU001,2023-02-01,2098932.69,0.17,1.008,2,45.2,29
BU001,2023-03-01,2704529.01,0.238,1.148,3,51.1,48
BU001,2023-04-01,1926846.0,0.157,1.008,1,35.9,46
BU001,2023-05-01,2461526.08,0.179,0.767,4,42.1,48
BU001,2023-06-01,1656165.86,0.168,1.001,3,48.9,57
BU001,2023-07-01,1853611.18,0.14,0.981,4,61.0,58
BU001,2023-08-01,1817612.52,0.235,0.996,4,51.4,49
BU001,2023-09-01,1704297.51,0.307,0.878,3,38.0,30
BU001,2023-10-01,1627414.86,0.145,1.176,3,49.0,47
BU001,2023-11-01,2131728.13,0.133,1.175,4,33.7,39
BU001,2023-12-01,2121051.6,0.117,1.058,5,24.9,50
BU001,2024-01-01,2119510.97,0.208,1.164,2,56.4,46
BU001,2024-02-01,2397931.03,0.311,1.18,4,45.9,54
BU001,2024-03-01,2216163.28,0.172,1.009,6,18.2,38
BU001,2024-04-01,2511225.96,0.187,1.028,2,42.8,42
BU001,2024-05-01,2159040.13,0.272,1.034,4,34.3,35
BU001,2024-06-01,2585867.75,0.166,1.021,4,41.8,33
BU001,2024-07-01,1958787.51,0.142,0.939,2,40.3,56
BU001,2024-08-01,2005099.7,0.211,1.055,1,45.6,38
BU001,2024-09-01,2172358.47,0.278,0.992,2,53.4,52
BU001,2024-10-01,2244879.88,0.117,1.013,3,45.1,42
BU001,2024-11-01,1836633.73,0.161,0.994,3,56.6,50
BU001,2024-12-01,1937425.07,0.222,0.84,4,44.1,44
BU001,2025-01-01,2220951.56,0.17,1.107,3,64.3,33
BU001,2025-02-01,2627731.85,0.093,1.031,5,38.8,57
BU001,2025-03-01,1762370.89,0.176,1.222,3,42.2,54
BU001,2025-04-01,2152099.61,0.068,0.981,4,41.2,38
BU001,2025-05-01,1614187.39,0.202,0.792,3,34.6,45
BU001,2025-06-01,2191423.52,0.182,0.872,3,43.5,51
BU001,2025-07-01,2441320.6,0.139,1.14,5,47.5,32
BU001,2025-08-01,2222120.48,0.245,0.994,5,31.7,53
BU001,2025-09-01,2112564.06,0.122,0.895,4,39.4,53
BU001,2025-10-01,1934215.81,0.185,0.96,5,52.2,30
BU001,2025-11-01,2289134.2,0.31,1.044,3,43.3,61
BU001,2025-12-01,2471450.71,0.12,0.925,1,43.9,34
BU002,2020-01-01,1917884.47,0.178,0.829,3,48.5,43
BU002,2020-02-01,2196787.95,0.092,0.923,1,60.9,45
BU002,2020-03-01,1931842.75,0.224,1.092,2,41.0,38
BU002,2020-04-01,2500573.61,0.104,1.061,3,59.5,70
BU002,2020-05-01,1701696.44,0.208,1.168,2,36.9,55
BU002,2020-06-01,2166184.29,0.19,1.086,3,47.9,42
BU002,2020-07-01,2258164.93,0.195,0.952,2,37.7,33
BU002,2020-08-01,2220008.39,0.251,1.183,2,36.2,35
BU002,2020-09-01,1589906.57,0.096,1.028,2,35.1,18
BU002,2020-10-01,1865237.98,0.172,1.073,3,36.4,50
BU002,2020-11-01,2241038.54,0.131,1.029,7,25.4,55
BU002,2020-12-01,2284601.63,0.218,1.015,5,52.5,36
BU002,2021-01-01,2448389.36,0.151,0.981,2,31.9,36
BU002,2021-02-01,1892292.96,0.114,1.08,3,64.6,36
BU002,2021-03-01,1940300.8,0.289,0.94,1,58.4,57
BU002,2021-04-01,2395070.85,0.165,1.055,3,37.8,58
BU002,2021-05-01,2155899.42,0.234,0.96,4,44.3,61
BU002,2021-06-01,2250850.37,0.23,1.123,3,26.7,56
BU002,2021-07-01,1936463.5,0.206,1.137,3,23.9,47
BU002,2021-08-01,2342223.75,0.096,1.038,4,29.0,50
BU002,2021-09-01,1697126.11,0.284,0.759,2,56.9,43
BU002,2021-10-01,1614232.23,0.152,0.968,3,48.6,46
BU002,2021-11-01,1651521.57,0.111,1.063,3,53.2,36
BU002,2021-12-01,1460986.08,0.132,1.178,3,44.8,37
BU002,2022-01-01,2049307.74,0.173,1.053,1,43.6,27
BU002,2022-02-01,2331422.4,0.141,1.173,4,48.2,46
BU002,2022-03-01,2247594.3,0.141,1.135,3,25.6,59
BU002,2022-04-01,2313992.08,0.219,0.959,3,37.0,53
BU002,2022-05-01,2391351.34,0.238,0.919,2,47.8,38
BU002,2022-06-01,2044986.61,0.266,0.893,4,31.4,40
BU002,2022-07-01,2050903.13,0.258,0.97,3,54.7,46
BU002,2022-08-01,2221490.84,0.165,0.894,3,46.9,36
BU002,2022-09-01,1852166.24,0.12,1.057,2,29.0,49
BU002,2022-10-01,1317425.89,0.19,0.978,4,43.8,45
BU002,2022-11-01,1854972.14,0.138,1.014,0,42.4,53
BU002,2022-12-01,1621731.92,0.336,0.942,5,47.2,41
BU002,2023-01-01,1468488.06,0.232,1.02,2,45.8,56
BU002,2023-02-01,1846609.97,0.2,0.806,4,44.4,37
BU002,2023-03-01,2449265.33,0.16,1.061,6,22.3,47
BU002,2023-04-01,2644908.59,0.202,1.079,4,44.4,38
BU002,2023-05-01,1889410.62,0.204,0.887,3,34.1,38
BU002,2023-06-01,2450443.48,0.106,0.854,3,47.2,42
BU002,2023-07-01,1724177.84,0.17,0.913,1,39.1,36
BU002,2023-08-01,1301198.21,0.196,0.982,6,40.8,41
BU002,2023-09-01,1907504.05,0.208,1.049,5,44.2,52
BU002,2023-10-01,1888121.07,0.095,1.026,4,46.4,45
BU002,2023-11-01,2249525.77,0.167,0.891,5,56.3,46
BU002,2023-12-01,1820667.84,0.102,1.201,4,54.3,59
BU002,2024-01-01,1585171.19,0.258,1.04,2,61.0,41
BU002,2024-02-01,1942107.8,0.207,1.16,3,35.9,55
BU002,2024-03-01,1534847.83,0.188,0.805,1,41.6,48
BU002,2024-04-01,2650445.71,0.079,0.919,5,71.3,42
BU002,2024-05-01,1777635.64,0.127,0.952,3,46.5,43
BU002,2024-06-01,1636969.5,0.177,0.929,3,47.9,40
BU002,2024-07-01,1837536.25,0.185,0.948,2,62.8,34
BU002,2024-08-01,1952476.35,0.102,1.101,2,45.2,55
BU002,2024-09-01,1690150.28,0.165,1.044,5,53.4,44
BU002,2024-10-01,1945911.91,0.141,1.194,6,50.6,44
BU002,2024-11-01,1752820.5,0.167,0.923,2,43.1,44
BU002,2024-12-01,1820249.85,0.21,0.74,4,33.8,48
BU002,2025-01-01,1819987.88,0.121,1.162,4,20.7,25
BU002,2025-02-01,2115574.4,0.141,0.98,2,38.9,47
BU002,2025-03-01,2118962.5,0.157,1.019,2,29.6,49
BU002,2025-04-01,2237549.38,0.189,1.185,4,40.6,37
BU002,2025-05-01,1546010.72,0.252,1.042,3,5.5,27
BU002,2025-06-01,1695711.65,0.333,0.892,5,32.9,52
BU002,2025-07-01,2100529.42,0.094,0.958,1,54.0,52
BU002,2025-08-01,2568583.41,0.2,0.828,3,36.0,28
BU002,2025-09-01,2259675.35,0.233,1.048,2,29.6,34
BU002,2025-10-01,2015300.77,0.091,0.993,3,55.4,41
BU002,2025-11-01,2213683.06,0.336,1.152,3,34.9,39
BU002,2025-12-01,1734297.48,0.167,1.244,6,37.0,43
BU003,2020-01-01,2387152.23,0.238,0.847,4,16.4,41
BU003,2020-02-01,3262097.13,0.231,0.946,3,39.0,51
BU003,2020-03-01,2710291.54,0.233,1.031,1,38.9,79
BU003,2020-04-01,2383142.13,0.181,0.952,0,35.6,61
BU003,2020-05-01,2956990.82,0.216,0.959,4,51.3,57
BU003,2020-06-01,2071338.59,0.193,1.093,3,26.5,60
BU003,2020-07-01,2486920.86,0.184,1.024,5,49.5,68
BU003,2020-08-01,2253335.02,0.209,1.098,2,37.1,66
BU003,2020-09-01,1996322.03,0.067,1.039,8,34.4,64
BU003,2020-10-01,2552835.4,0.23,1.107,4,30.3,70
BU003,2020-11-01,2501353.18,0.114,1.066,2,29.6,68
BU003,2020-12-01,2202531.69,0.201,1.085,8,36.9,59
BU003,2021-01-01,2428255.11,0.106,0.979,4,60.9,53
BU003,2021-02-01,2360891.74,0.095,0.991,3,41.9,56
BU003,2021-03-01,3012207.01,0.255,0.955,5,45.4,31
BU003,2021-04-01,3297373.11,0.104,0.993,5,45.4,65
BU003,2021-05-01,3187647.42,0.066,1.046,1,52.7,72
BU003,2021-06-01,2538082.4,0.134,1.146,1,46.6,42
BU003,2021-07-01,2772137.78,0.273,0.854,3,46.3,52
BU003,2021-08-01,2762254.4,0.214,0.769,3,37.5,36
BU003,2021-09-01,3219856.19,0.215,1.231,3,50.1,53
BU003,2021-10-01,2910512.57,0.259,1.035,2,34.8,70
BU003,2021-11-01,2260196.97,0.077,1.316,2,51.3,39
BU003,2021-12-01,2420469.84,0.109,1.064,6,42.1,69
BU003,2022-01-01,1938818.23,0.193,0.802,2,54.9,56
BU003,2022-02-01,2622265.3,0.182,0.836,0,50.7,69
BU003,2022-03-01,2302095.21,0.279,0.896,4,40.3,64
BU003,2022-04-01,2915505.46,0.197,0.997,1,46.3,55
BU003,2022-05-01,2450803.03,0.148,1.017,1,60.7,47
BU003,2022-06-01,2133173.19,0.189,0.878,3,87.0,68
BU003,2022-07-01,2036011.67,0.197,1.021,0,45.1,49
BU003,2022-08-01,2307114.41,0.183,0.996,1,57.6,53
BU003,2022-09-01,2666841.7,0.054,0.812,5,9.6,54
BU003,2022-10-01,2706550.86,0.236,0.824,3,49.4,57
BU003,2022-11-01,1905828.05,0.107,0.977,0,44.9,71
BU003,2022-12-01,1889283.35,0.175,1.176,2,30.9,61
BU003,2023-01-01,2497538.28,0.236,0.918,3,47.8,65
BU003,2023-02-01,2716448.57,0.287,1.137,3,40.4,58
BU003,2023-03-01,3010079.56,0.179,1.165,2,52.6,48
BU003,2023-04-01,2833720.63,0.1,0.992,3,34.8,57
BU003,2023-05-01,3060670.5,0.232,0.898,2,40.5,49
BU003,2023-06-01,3292192.84,0.186,0.872,1,47.3,53
BU003,2023-07-01,2880423.95,0.158,1.138,2,29.2,67
BU003,2023-08-01,2086117.11,0.151,1.032,2,65.2,63
BU003,2023-09-01,2262508.84,0.206,1.071,3,58.1,48
BU003,2023-10-01,2211613.16,0.123,0.974,3,34.5,54
BU003,2023-11-01,2259641.42,0.138,1.025,4,44.1,72
BU003,2023-12-01,2119238.86,0.212,1.03,2,43.3,45
BU003,2024-01-01,2617359.08,0.182,1.191,2,56.3,63
BU003,2024-02-01,3142578.26,0.123,0.793,3,35.7,52
BU003,2024-03-01,2711474.88,0.245,1.001,2,33.7,56
BU003,2024-04-01,2758120.26,0.164,1.103,4,33.8,58
BU003,2024-05-01,2863300.13,0.19,1.104,1,45.2,78
BU003,2024-06-01,2242297.06,0.124,0.974,5,29.7,45
BU003,2024-07-01,2558921.2,0.168,0.957,2,59.7,67
BU003,2024-08-01,3068117.31,0.139,1.054,5,32.2,59
BU003,2024-09-01,1921952.05,0.19,0.875,1,30.3,67
BU003,2024-10-01,2278707.96,0.111,1.106,0,52.1,58
BU003,2024-11-01,2592741.45,0.157,1.017,1,25.6,51
BU003,2024-12-01,3009507.63,0.23,1.017,1,13.3,83
BU003,2025-01-01,2441375.27,0.267,1.115,0,47.9,60
BU003,2025-02-01,2584308.1,0.154,0.792,2,47.8,41
BU003,2025-03-01,3096108.01,0.196,1.055,5,46.4,64
BU003,2025-04-01,2670980.23,0.046,1.081,3,34.2,77
BU003,2025-05-01,3149236.06,0.105,1.049,5,44.5,78
BU003,2025-06-01,2866251.81,0.154,1.111,3,54.1,51
BU003,2025-07-01,3379390.26,0.142,0.946,6,47.3,42
BU003,2025-08-01,1951849.28,0.22,0.841,5,35.3,51
BU003,2025-09-01,2634659.53,0.151,1.097,3,24.0,52
BU003,2025-10-01,2410775.32,0.242,1.277,5,32.7,69
BU003,2025-11-01,2369369.6,0.146,0.847,2,18.3,66
BU003,2025-12-01,2539562.5,0.215,0.875,1,28.3,59
BU004,2020-01-01,1658157.47,0.213,0.987,3,35.4,45
BU004,2020-02-01,1520857.88,0.185,1.156,1,56.7,40
BU004,2020-03-01,2438352.44,0.187,0.85,1,55.5,33
BU004,2020-04-01,1072216.26,0.141,0.856,2,33.9,40
BU004,2020-05-01,2408643.8,0.23,0.899,3,26.3,18
BU004,2020-06-01,1924759.13,-0.002,1.043,8,22.9,16
BU004,2020-07-01,1770195.87,0.243,0.861,2,27.4,35
BU004,2020-08-01,1969211.64,0.073,0.732,7,43.5,27
BU004,2020-09-01,1876545.02,0.073,1.018,2,26.3,31
BU004,2020-10-01,1334610.76,0.236,1.015,4,28.7,50
BU004,2020-11-01,1653989.4,0.212,1.185,4,51.8,35
BU004,2020-12-01,980327.32,0.225,1.098,4,40.3,32
BU004,2021-01-01,2054392.97,0.263,0.99,6,49.5,27
BU004,2021-02-01,1784333.26,0.234,0.979,2,36.2,39
BU004,2021-03-01,1812811.81,0.085,0.992,4,38.4,34
BU004,2021-04-01,1920686.25,0.292,1.095,2,31.6,32
BU004,2021-05-01,1582758.49,0.249,0.906,2,58.6,67
BU004,2021-06-01,2112934.95,0.158,1.107,1,33.5,38
BU004,2021-07-01,1199609.69,0.254,0.987,3,56.1,31
BU004,2021-08-01,1404042.69,0.217,1.072,5,66.9,33
BU004,2021-09-01,1773480.16,0.08,0.849,2,36.6,52
BU004,2021-10-01,2013810.27,0.202,0.957,4,47.9,34
BU004,2021-11-01,1415547.29,0.119,0.725,6,55.0,50
BU004,2021-12-01,1327579.98,0.22,0.951,5,29.9,29
BU004,2022-01-01,953138.21,0.264,1.059,4,34.7,52
BU004,2022-02-01,2597340.74,0.203,1.1,5,58.8,31
BU004,2022-03-01,1898363.84,0.305,1.106,2,26.6,49
BU004,2022-04-01,1519567.74,0.331,0.93,2,47.0,33
BU004,2022-05-01,1209210.51,0.242,1.193,2,40.0,50
BU004,2022-06-01,1658431.1,0.113,0.963,1,55.7,29
BU004,2022-07-01,1819995.62,0.125,0.788,3,30.8,30
BU004,2022-08-01,1321550.98,0.227,1.142,0,51.2,41
BU004,2022-09-01,2140509.88,0.061,1.002,6,45.3,31
BU004,2022-10-01,1821270.92,0.16,1.026,2,49.1,25
BU004,2022-11-01,1777892.11,0.047,0.888,3,58.9,23
BU004,2022-12-01,1411690.48,0.18,0.837,1,51.0,53
BU004,2023-01-01,1710236.77,0.185,0.967,5,34.8,46
BU004,2023-02-01,1819957.41,0.199,1.134,3,47.4,33
BU004,2023-03-01,1191668.17,0.173,0.989,6,46.1,34
BU004,2023-04-01,2099502.49,0.175,0.841,2,39.3,26
BU004,2023-05-01,1712931.86,0.199,1.024,5,52.0,19
BU004,2023-06-01,1574698.58,0.254,0.846,5,38.9,35
BU004,2023-07-01,1643050.47,0.104,1.03,3,18.6,40
BU004,2023-08-01,798263.19,0.26,0.988,4,47.6,25
BU004,2023-09-01,1819211.42,0.115,0.851,3,47.9,40
BU004,2023-10-01,820961.85,0.205,0.932,2,58.5,45
BU004,2023-11-01,1112364.33,0.165,1.009,3,35.0,28
BU004,2023-12-01,1153691.94,0.192,0.788,2,45.6,35
BU004,2024-01-01,1010021.13,0.223,1.018,6,65.5,37
BU004,2024-02-01,1228288.86,0.181,1.074,6,39.2,33
BU004,2024-03-01,1594994.7,0.198,0.975,5,41.8,30
BU004,2024-04-01,2147719.2,0.157,1.006,9,50.1,29
BU004,2024-05-01,1464032.43,0.243,1.18,1,67.3,46
BU004,2024-06-01,1704655.61,0.076,1.024,4,31.1,27
BU004,2024-07-01,1845328.29,0.132,1.063,4,46.3,32
BU004,2024-08-01,1336120.77,0.152,1.003,1,44.9,21
BU004,2024-09-01,1407150.35,0.131,0.827,4,38.4,29
BU004,2024-10-01,1738194.91,0.134,0.878,6,46.0,32
BU004,2024-11-01,1762514.97,0.214,0.926,2,60.0,29
BU004,2024-12-01,1872587.72,0.301,1.007,4,62.6,28
BU004,2025-01-01,1079653.45,0.068,0.855,2,28.5,38
BU004,2025-02-01,1671418.59,0.138,1.036,3,33.4,38
BU004,2025-03-01,2491016.82,0.209,0.962,2,38.8,27
BU004,2025-04-01,1656882.18,0.298,1.04,5,57.4,21
BU004,2025-05-01,1344407.14,0.211,1.033,4,18.0,35
BU004,2025-06-01,1871755.03,0.184,0.999,6,41.8,42
BU004,2025-07-01,1135127.38,0.193,1.17,3,44.6,30
BU004,2025-08-01,953235.52,0.174,1.06,5,52.4,44
BU004,2025-09-01,1309210.15,0.142,1.038,4,42.0,43
BU004,2025-10-01,1193934.51,0.15,1.087,8,47.6,47
BU004,2025-11-01,1182676.1,0.129,1.049,1,48.5,32
BU004,2025-12-01,1083319.98,0.201,1.115,5,58.1,43
BU005,2020-01-01,836751.66,0.131,1.105,6,29.5,35
BU005,2020-02-01,1416647.16,0.25,1.043,2,38.2,16
BU005,2020-03-01,1031116.0,0.186,0.866,3,35.2,19
BU005,2020-04-01,1781003.46,0.187,0.935,4,56.6,28
BU005,2020-05-01,1645852.14,0.199,0.783,4,25.3,40
BU005,2020-06-01,1275286.17,0.146,1.134,2,54.9,53
BU005,2020-07-01,1656639.62,0.209,1.238,3,57.8,20
BU005,2020-08-01,1122931.47,0.049,0.998,5,57.2,16
BU005,2020-09-01,1668191.7,0.143,0.886,1,60.7,21
BU005,2020-10-01,1599696.89,0.241,1.058,3,64.7,26
BU005,2020-11-01,1184770.83,0.027,0.956,4,30.3,36
BU005,2020-12-01,976105.67,0.249,1.102,5,25.3,20
BU005,2021-01-01,1016299.16,0.006,1.017,5,46.2,44
BU005,2021-02-01,1754420.89,0.159,1.073,5,42.1,31
BU005,2021-03-01,1937656.05,0.129,1.034,1,36.0,37
BU005,2021-04-01,1071211.77,0.286,0.99,3,42.6,43
BU005,2021-05-01,1334104.56,0.165,1.08,3,49.5,34
BU005,2021-06-01,1412434.62,0.166,1.009,4,34.5,26
BU005,2021-07-01,1417839.01,0.227,1.116,3,23.3,52
BU005,2021-08-01,853284.72,0.32,0.885,2,33.2,35
BU005,2021-09-01,966778.2,0.28,0.954,3,27.7,49
BU005,2021-10-01,1085939.45,0.172,1.038,0,28.8,41
BU005,2021-11-01,1540729.01,0.199,0.794,3,32.7,19
BU005,2021-12-01,1039776.35,0.172,1.051,1,27.0,47
BU005,2022-01-01,1707192.64,0.246,1.023,1,55.4,30
BU005,2022-02-01,1265718.42,0.159,0.847,4,45.9,24
BU005,2022-03-01,1688970.15,0.218,1.07,3,41.7,32
BU005,2022-04-01,1125439.11,0.257,1.083,4,39.7,26
BU005,2022-05-01,835797.52,0.246,0.966,3,31.0,33
BU005,2022-06-01,1143523.84,0.26,0.966,3,54.0,33
BU005,2022-07-01,1435649.73,0.069,0.944,3,38.3,38
BU005,2022-08-01,1005445.79,0.22,1.149,4,41.9,28
BU005,2022-09-01,1675052.73,0.166,0.944,1,31.1,19
BU005,2022-10-01,1672446.84,0.09,0.915,4,33.3,35
BU005,2022-11-01,1913763.4,0.276,1.006,1,60.1,16
BU005,2022-12-01,1636751.72,0.2,0.894,5,40.0,12
BU005,2023-01-01,1157080.53,0.268,1.053,3,43.8,29
BU005,2023-02-01,1098508.19,0.063,1.105,3,24.4,41
BU005,2023-03-01,2531224.32,0.117,1.151,2,53.9,25
BU005,2023-04-01,1577506.64,0.156,1.036,1,49.4,29
BU005,2023-05-01,1850416.14,0.159,0.923,2,47.3,24
BU005,2023-06-01,1273877.98,0.112,0.886,4,30.3,18
BU005,2023-07-01,1136112.43,0.102,0.907,6,42.3,31
BU005,2023-08-01,1122032.81,0.18,1.009,4,48.8,31
BU005,2023-09-01,1449404.2,0.258,0.939,6,51.9,44
BU005,2023-10-01,1442746.0,0.188,0.971,8,49.0,30
BU005,2023-11-01,1298217.41,0.191,0.802,4,37.7,30
BU005,2023-12-01,1592457.69,0.339,1.049,2,50.1,47
BU005,2024-01-01,1270567.04,0.209,1.126,4,77.9,37
BU005,2024-02-01,1829522.04,0.235,0.867,4,41.1,18
BU005,2024-03-01,1510288.81,0.236,1.181,3,34.7,44
BU005,2024-04-01,1481377.04,0.296,1.003,1,51.1,20
BU005,2024-05-01,1261686.95,0.154,0.885,5,28.4,25
BU005,2024-06-01,1130615.35,0.098,1.211,2,57.9,20
BU005,2024-07-01,1618423.97,0.167,1.002,3,22.1,53
BU005,2024-08-01,1426961.05,0.212,0.857,5,49.7,35
BU005,2024-09-01,1730148.89,0.321,1.002,3,35.4,26
BU005,2024-10-01,1220987.97,0.151,0.881,5,52.5,25
BU005,2024-11-01,1483320.92,0.141,1.012,3,46.1,38
BU005,2024-12-01,741775.13,0.235,1.165,2,27.8,32
BU005,2025-01-01,1517215.79,0.126,0.988,3,30.4,35
BU005,2025-02-01,1538228.62,0.151,0.851,2,57.9,30
BU005,2025-03-01,1229860.56,0.082,0.891,2,54.9,19
BU005,2025-04-01,1239430.43,0.233,0.991,5,36.9,30
BU005,2025-05-01,1499540.63,0.057,1.039,1,43.4,33
BU005,2025-06-01,1059306.61,0.182,1.087,3,43.3,38
BU005,2025-07-01,1940625.23,0.216,1.106,4,37.5,29
BU005,2025-08-01,1000097.91,0.158,1.043,3,34.9,27
BU005,2025-09-01,1066475.73,0.174,1.046,2,22.3,33
BU005,2025-10-01,1206397.37,0.228,0.919,2,42.4,21
BU005,2025-11-01,1202217.16,0.208,0.846,2,48.6,33
BU005,2025-12-01,1110894.24,0.245,0.94,1,36.4,27
BU006,2020-01-01,1431864.04,0.137,1.209,3,32.9,24
BU006,2020-02-01,833124.58,0.133,0.679,1,26.8,42
BU006,2020-03-01,1321935.21,0.25,1.003,4,49.9,25
BU006,2020-04-01,1897327.67,0.146,0.9,4,44.1,37
BU006,2020-05-01,1487018.83,0.231,1.278,4,49.5,31
BU006,2020-06-01,1493007.66,0.217,0.994,4,44.4,45
BU006,2020-07-01,1737346.48,0.255,0.915,3,23.0,33
BU006,2020-08-01,1423345.49,0.094,1.042,3,20.6,39
BU006,2020-09-01,1856650.18,0.23,1.032,4,35.2,13
BU006,2020-10-01,1765861.89,0.154,1.139,2,28.3,41
BU006,2020-11-01,610469.57,0.2,0.962,3,45.5,19
BU006,2020-12-01,1058969.71,0.135,1.181,2,35.4,5
BU006,2021-01-01,1289834.94,0.118,0.954,3,34.3,34
BU006,2021-02-01,815868.71,0.097,1.087,3,44.3,44
BU006,2021-03-01,1317185.01,0.141,0.823,1,21.2,33
BU006,2021-04-01,1042465.1,0.053,1.003,3,37.8,20
BU006,2021-05-01,1278827.17,0.268,1.075,5,47.4,23
BU006,2021-06-01,1241154.0,0.226,0.932,1,48.4,39
BU006,2021-07-01,1448755.39,0.067,0.848,3,7.4,33
BU006,2021-08-01,1157685.3,0.195,0.898,2,24.5,25
BU006,2021-09-01,890172.37,0.176,0.943,3,33.9,43
BU006,2021-10-01,1358120.18,0.187,0.911,2,42.9,34
BU006,2021-11-01,1052212.09,0.211,0.998,3,33.7,24
BU006,2021-12-01,1205047.74,0.221,1.03,1,53.7,40
BU006,2022-01-01,663483.64,0.115,0.925,3,32.6,25
BU006,2022-02-01,1924826.4,0.138,1.025,3,42.0,40
BU006,2022-03-01,1805662.99,0.149,1.081,6,21.2,28
BU006,2022-04-01,1461833.19,0.16,0.906,4,23.3,23
BU006,2022-05-01,1853602.38,0.225,0.859,3,62.7,22
BU006,2022-06-01,1789080.78,0.246,0.986,3,45.3,39
BU006,2022-07-01,1189001.24,0.174,1.025,2,49.0,32
BU006,2022-08-01,1429569.32,0.198,0.947,3,48.1,26
BU006,2022-09-01,1420869.62,0.299,1.134,1,42.3,42
BU006,2022-10-01,1498475.66,0.096,1.054,1,25.2,36
BU006,2022-11-01,943111.4,0.212,1.058,4,35.7,27
BU006,2022-12-01,1669844.08,0.156,0.897,0,26.7,36
BU006,2023-01-01,1373859.55,0.194,1.031,4,32.8,18
BU006,2023-02-01,1314532.01,0.218,0.971,3,38.1,29
BU006,2023-03-01,1605335.01,0.251,1.127,4,39.6,32
BU006,2023-04-01,1724986.81,0.218,0.909,4,24.4,16
BU006,2023-05-01,985061.12,0.178,0.998,8,46.5,24
BU006,2023-06-01,1383252.09,0.097,0.93,2,46.1,42
BU006,2023-07-01,1591430.52,0.301,0.936,3,43.9,50
BU006,2023-08-01,1260490.82,0.137,1.073,2,53.9,25
BU006,2023-09-01,1014723.87,0.123,1.208,6,32.3,27
BU006,2023-10-01,1650690.37,0.254,1.099,1,39.9,17
BU006,2023-11-01,1342423.72,0.151,0.994,2,35.6,21
BU006,2023-12-01,1427564.5,0.192,1.199,6,46.0,22
BU006,2024-01-01,1333003.82,0.12,0.839,6,61.0,37
BU006,2024-02-01,1396723.11,0.107,0.898,2,54.0,37
BU006,2024-03-01,1620461.91,0.141,0.935,0,36.7,27
BU006,2024-04-01,1217020.23,0.216,0.832,3,31.4,25
BU006,2024-05-01,1943677.82,0.165,0.84,0,73.4,36
BU006,2024-06-01,2020532.42,0.255,0.972,1,37.5,47
BU006,2024-07-01,1426712.91,0.275,0.989,3,35.6,42
BU006,2024-08-01,1988478.89,0.149,0.842,2,33.0,29
BU006,2024-09-01,1041296.74,0.266,1.395,1,23.9,47
BU006,2024-10-01,1139812.03,0.144,0.793,3,36.0,28
BU006,2024-11-01,1849417.26,0.203,1.17,4,64.8,27
BU006,2024-12-01,1920645.84,0.297,1.059,2,39.8,37
BU006,2025-01-01,1598527.4,0.151,1.198,2,46.1,36
