employee_id,effective_date,base_pay,bonus_target,compa_ratio,merit_pct,promo_flag
E00021,2023-06-01,72675.29,7267.53,1.196,0.03,0
E00021,2024-03-01,73240.08,10986.01,0.84,0.0,0
E00021,2024-05-01,75309.73,7530.97,0.916,0.05,0
E00021,2025-03-01,78221.52,7822.15,1.102,0.04,0
E00022,2020-11-01,52978.94,4238.32,1.139,0.04,0
E00022,2021-01-01,55528.85,4442.31,1.173,0.04,0
E00022,2021-03-01,58402.0,2920.1,0.804,0.05,0
E00022,2022-02-01,60607.11,4848.57,0.813,0.04,0
E00022,2022-04-01,67337.01,3366.85,0.858,0.02,1
E00022,2022-08-01,77620.97,9314.52,0.956,0.06,1
E00022,2022-11-01,81184.21,9742.11,0.843,0.04,0
E00023,2023-07-01,89434.0,7154.72,1.167,0.04,0
E00023,2024-08-01,93357.37,9335.74,0.952,0.06,0
E00023,2024-09-01,97333.89,4866.69,0.887,0.05,0
E00023,2025-01-01,101142.51,10114.25,0.928,0.03,0
E00023,2025-04-01,105716.21,8457.3,0.956,0.05,0
E00023,2025-05-01,107021.48,8561.72,0.798,0.0,0
E00024,2020-06-01,96378.28,4818.91,0.913,0.03,0
E00024,2020-11-01,100071.53,5003.58,1.111,0.04,0
E00024,2021-02-01,104133.31,15620.0,1.082,0.05,0
E00024,2022-05-01,109689.87,5484.49,1.155,0.05,0
E00024,2024-08-01,125668.11,12566.81,0.853,0.05,1
E00024,2025-04-01,123389.9,6169.5,0.982,0.0,0
E00025,2025-06-01,95348.04,9534.8,1.027,0.04,0
E00025,2025-08-01,96816.22,9681.62,1.005,0.03,0
E00025,2025-09-01,98216.1,9821.61,0.988,0.02,0
E00025,2025-12-01,98825.93,4941.3,0.667,0.02,0
E00026,2021-10-01,66539.62,6653.96,1.139,0.04,0
E00026,2021-12-01,68855.43,10328.31,1.13,0.04,0
E00026,2023-05-01,70861.47,10629.22,0.864,0.02,0
E00027,2022-10-01,75138.8,9016.66,1.17,0.03,0
E00027,2023-02-01,77559.64,3877.98,1.154,0.03,0
E00027,2024-11-01,83110.44,6648.83,1.055,0.06,0
E00028,2022-02-01,61050.05,6105.0,1.218,0.0,0
E00028,2022-07-01,62447.6,4995.81,0.979,0.03,0
E00028,2024-02-01,63571.09,5085.69,1.12,0.02,0
E00028,2024-08-01,65173.82,7820.86,1.067,0.03,0
E00028,2024-12-01,67097.73,6709.77,1.012,0.04,0
E00028,2025-12-01,69487.31,5558.98,1.06,0.04,0
E00029,2023-04-01,106915.14,5345.76,1.063,0.04,0
E00029,2023-08-01,110170.94,8813.68,0.946,0.03,0
E00029,2024-11-01,113999.98,5700.0,0.759,0.04,0
E00030,2024-03-01,55632.31,8344.85,0.981,0.02,0
E00030,2024-08-01,57316.46,2865.82,0.881,0.03,0
E00030,2024-12-01,58853.29,2942.66,0.984,0.03,0
E00030,2025-01-01,60229.29,9034.39,1.006,0.03,0
E00030,2025-05-01,62188.07,6218.81,1.024,0.02,0
E00031,2023-04-01,77341.32,7734.13,1.038,0.03,0
E00031,2024-01-01,79594.98,6367.6,1.026,0.03,0
E00031,2025-05-01,82440.48,8244.05,0.708,0.04,0
E00032,2025-07-01,96196.95,14429.54,0.991,0.04,0
E00032,2025-08-01,96661.58,9666.16,0.869,0.0,0
E00032,2025-09-01,96987.01,4849.35,1.178,0.0,0
E00032,2025-12-01,101339.09,5066.95,0.995,0.03,0
E00033,2024-03-01,71404.28,7140.43,1.158,0.04,0
E00033,2024-12-01,72498.47,7249.85,1.147,0.02,0
E00033,2025-02-01,73505.25,7350.52,1.028,0.02,0
E00033,2025-05-01,74218.68,11132.8,1.055,0.02,0
E00033,2025-06-01,77635.32,6210.83,0.928,0.04,0
E00033,2025-07-01,80130.51,12019.58,1.155,0.04,0
E00034,2024-05-01,87301.26,4365.06,1.045,0.06,0
E00034,2024-08-01,89193.16,7135.45,1.08,0.04,0
E00034,2025-01-01,101276.86,10127.69,0.927,0.03,1
E00034,2025-06-01,106243.55,8499.48,0.907,0.05,0
E00035,2023-05-01,81791.46,4089.57,0.952,0.04,0
E00035,2023-08-01,88145.46,7051.64,0.762,0.06,0
E00035,2025-02-01,92704.1,7416.33,1.129,0.03,0
E00036,2023-01-01,71571.58,7157.16,1.181,0.03,0
E00036,2023-08-01,75866.98,9104.04,1.119,0.05,0
E00036,2024-08-01,76791.92,6143.35,1.088,0.02,0
E00036,2024-09-01,78031.43,3901.57,0.998,0.03,0
E00037,2020-08-01,79409.89,6352.79,0.94,0.03,0
E00037,2023-03-01,84598.17,10151.78,1.114,0.05,0
E00037,2025-01-01,85981.42,4299.07,1.051,0.02,0
E00038,2025-06-01,75523.46,9062.82,0.923,0.04,0
E00038,2025-08-01,77264.53,9271.74,0.903,0.02,0
E00038,2025-12-01,80421.61,9650.59,0.898,0.03,0
E00039,2021-08-01,120558.58,9644.69,0.98,0.0,0
E00039,2021-11-01,135981.43,13598.14,0.984,0.03,1
E00039,2022-02-01,141266.28,14126.63,0.945,0.04,0
E00039,2023-05-01,158504.35,7925.22,1.061,0.03,1
E00039,2023-10-01,160892.95,19307.15,1.051,0.03,0
E00039,2025-01-01,183023.27,9151.16,1.083,0.03,1
E00039,2025-07-01,207786.44,16622.91,1.073,0.04,1
E00039,2025-10-01,212474.36,10623.72,1.029,0.02,0
E00040,2020-12-01,75461.18,7546.12,1.223,0.0,0
E00040,2021-05-01,77173.67,7717.37,1.063,0.03,0
E00040,2022-05-01,79295.36,6343.63,1.15,0.04,0
E00040,2022-06-01,80492.14,12073.82,1.163,0.0,0
E00040,2022-08-01,82740.58,8274.06,0.99,0.03,0
E00040,2022-09-01,83799.14,6703.93,1.235,0.03,0
E00040,2022-11-01,88119.26,4405.96,1.005,0.06,0
E00040,2022-12-01,89223.09,7137.85,1.095,0.02,0
E00041,2024-06-01,56060.5,2803.03,0.9,0.02,0
E00041,2024-08-01,60146.04,6014.6,1.077,0.06,0
E00041,2025-02-01,64091.37,9613.71,1.019,0.06,0
E00041,2025-04-01,65890.16,5271.21,0.976,0.03,0
E00041,2025-09-01,67259.61,3362.98,1.011,0.02,0
E00042,2019-05-01,125943.45,12594.34,0.999,0.03,0
E00042,2023-04-01,129294.81,6464.74,0.987,0.04,0
E00042,2024-05-01,136377.7,20456.66,1.208,0.05,0
E00043,2024-06-01,36852.03,1842.6,1.168,0.0,0
E00043,2024-12-01,37392.48,3739.25,1.104,0.03,0
E00043,2025-07-01,37973.28,3037.86,0.791,0.02,0
E00043,2025-09-01,37648.01,5647.2,1.065,0.0,0
E00043,2025-10-01,38152.01,4578.24,1.077,0.03,0
E00044,2022-08-01,58172.92,5817.29,0.943,0.05,0
E00044,2023-03-01,60835.97,6083.6,1.06,0.05,0
E00044,2023-05-01,61957.58,7434.91,0.983,0.03,0
E00044,2023-07-01,63505.34,5080.43,0.847,0.04,0
E00044,2023-09-01,66167.0,6616.7,1.075,0.05,0
E00044,2023-10-01,69229.09,10384.36,1.042,0.04,0
E00044,2024-12-01,73424.12,7342.41,0.901,0.05,0
E00045,2019-09-01,110884.19,5544.21,0.963,0.05,0
E00045,2021-02-01,117874.77,11787.48,1.046,0.05,0
E00045,2021-07-01,119686.38,9574.91,0.948,0.04,0
E00045,2021-10-01,120672.63,12067.26,0.867,0.02,0
E00045,2022-03-01,126627.96,10130.24,1.004,0.04,0
E00045,2022-04-01,130364.79,6518.24,1.12,0.03,0
E00046,2020-07-01,46712.52,7006.88,0.748,0.0,0
E00046,2022-12-01,49600.63,4960.06,0.913,0.06,0
E00046,2025-04-01,50935.52,4074.84,0.985,0.04,0
E00047,2022-11-01,125719.47,15086.34,1.024,0.03,1
E00047,2023-03-01,133066.69,15968.0,1.033,0.04,0
E00047,2024-10-01,137589.89,11007.19,1.059,0.04,0
E00048,2018-12-01,72515.61,5801.25,1.101,0.03,0
E00048,2020-01-01,73636.2,8836.34,0.705,0.02,0
E00048,2020-03-01,74582.91,7458.29,0.823,0.03,0
E00048,2021-12-01,74400.36,7440.04,1.047,0.0,0
E00048,2022-01-01,77566.91,6205.35,0.95,0.04,0
E00049,2020-04-01,129500.04,12950.0,1.153,0.06,0
E00049,2020-05-01,135241.09,10819.29,0.734,0.03,0
E00049,2023-01-01,141106.81,16932.82,0.919,0.03,0
E00049,2023-09-01,145353.97,11628.32,0.944,0.04,0
E00050,2022-02-01,66353.64,6635.36,0.879,0.0,0
E00050,2023-02-01,74497.88,5959.83,0.899,0.03,1
E00050,2024-01-01,77641.7,6211.34,1.129,0.03,0
E00050,2024-03-01,80350.8,12052.62,1.121,0.03,0
E00050,2024-07-01,80960.11,4048.01,0.922,0.0,0
E00051,2025-05-01,78681.59,7868.16,0.974,0.03,0
E00051,2025-09-01,88717.62,4435.88,0.901,0.03,1
E00051,2025-11-01,92424.52,4621.23,1.197,0.03,0
E00052,2021-08-01,108934.08,13072.09,1.01,0.04,0
E00052,2024-04-01,112167.23,5608.36,1.11,0.04,0
E00052,2024-12-01,117907.01,14148.84,1.124,0.04,0
E00053,2024-04-01,115558.62,11555.86,0.942,0.02,0
E00053,2024-05-01,120719.05,6035.95,1.08,0.04,0
E00053,2024-06-01,121630.04,12163.0,1.003,0.0,0
E00053,2024-07-01,123310.42,18496.56,1.025,0.0,0
E00053,2024-08-01,126398.81,6319.94,1.095,0.03,0
E00053,2024-09-01,130763.03,15691.56,0.872,0.03,0
E00053,2024-12-01,131118.41,6555.92,1.028,0.02,0
E00054,2024-11-01,121390.4,12139.04,0.937,0.02,0
E00055,2024-08-01,56047.3,8407.1,1.2,0.04,0
E00055,2024-09-01,58918.97,7070.28,1.271,0.05,0
E00055,2025-01-01,60218.16,6021.82,0.94,0.02,0
E00055,2025-11-01,64132.75,6413.27,0.959,0.05,0
E00056,2023-03-01,75837.46,7583.75,0.957,0.03,0
E00056,2025-09-01,79871.48,7987.15,1.02,0.06,0
E00056,2025-11-01,83611.7,10033.4,1.091,0.04,0
E00057,2021-09-01,82733.03,8273.3,0.973,0.04,0
E00057,2023-02-01,85902.14,12885.32,1.114,0.03,0
E00057,2025-03-01,88520.73,7081.66,0.992,0.03,0
E00058,2023-01-01,65913.77,6591.38,0.997,0.02,0
E00058,2024-07-01,70334.94,8440.19,0.911,0.05,0
E00058,2025-11-01,70862.05,7086.2,1.072,0.0,0
E00059,2020-09-01,104004.7,12480.56,0.883,0.05,0
E00059,2020-10-01,106537.24,10653.72,0.948,0.03,0
E00059,2022-06-01,121650.57,6082.53,1.171,0.05,1
E00059,2023-10-01,126941.16,12694.12,0.974,0.04,0
E00059,2024-10-01,148575.8,22286.37,0.958,0.06,1
E00059,2025-07-01,156111.89,12488.95,1.15,0.04,0
E00060,2022-03-01,60170.27,9025.54,1.165,0.04,0
E00060,2022-04-01,63208.9,6320.89,0.958,0.05,0
E00060,2023-06-01,64310.67,5144.85,0.99,0.02,0
E00060,2024-10-01,67634.56,8116.15,0.865,0.05,0
E00060,2024-11-01,69713.24,10456.99,0.935,0.03,0
E00061,2021-11-01,74991.01,5999.28,0.861,0.03,0
E00061,2023-05-01,77801.03,9336.12,1.022,0.04,0
E00061,2025-04-01,80912.47,8091.25,1.081,0.04,0
E00061,2025-12-01,83078.59,12461.79,1.116,0.05,0
E00062,2020-04-01,124706.25,9976.5,0.944,0.04,0
E00062,2021-09-01,129332.55,6466.63,1.065,0.04,0
E00062,2021-11-01,135886.37,16306.36,0.929,0.03,0
E00062,2023-09-01,138776.28,11102.1,1.05,0.02,0
E00063,2025-06-01,48118.34,3849.47,1.14,0.02,0
E00063,2025-08-01,47833.21,7174.98,1.124,0.0,0
E00063,2025-09-01,50817.25,4065.38,0.963,0.05,0
E00063,2025-10-01,53046.74,6365.61,1.046,0.03,0
E00063,2025-11-01,55708.07,2785.4,0.698,0.05,0
E00064,2019-01-01,59799.75,8969.96,1.111,0.02,0
E00064,2021-03-01,62246.15,4979.69,1.128,0.04,0
E00064,2021-09-01,61760.04,4940.8,0.991,0.0,0
E00064,2022-06-01,64487.84,5159.03,1.061,0.03,0
E00064,2024-03-01,66664.69,3333.23,0.757,0.02,0
E00064,2025-01-01,70299.13,8435.9,1.06,0.05,0
E00064,2025-05-01,71959.77,7195.98,1.141,0.02,0
E00065,2019-03-01,33178.5,4976.77,1.094,0.06,0
E00065,2019-04-01,34666.67,2773.33,1.175,0.04,0
E00065,2019-09-01,35524.08,3552.41,0.965,0.02,0
E00065,2020-02-01,34763.66,3476.37,1.0,0.0,0
E00065,2020-12-01,35084.2,2806.74,1.024,0.0,0
E00065,2021-12-01,35998.14,5399.72,1.117,0.03,0
E00065,2023-02-01,36473.09,2917.85,1.097,0.03,0
E00065,2025-02-01,38357.71,1917.89,1.084,0.05,0
E00066,2019-10-01,85614.96,12842.24,1.202,0.04,0
E00066,2019-12-01,88508.1,7080.65,0.829,0.03,0
E00066,2021-03-01,92021.46,4601.07,0.928,0.05,0
E00066,2021-06-01,94130.75,14119.61,0.927,0.02,0
E00066,2022-02-01,96261.33,9626.13,1.033,0.02,0
E00066,2022-11-01,98833.76,11860.05,0.913,0.03,0
E00066,2023-07-01,102252.48,8180.2,1.128,0.03,0
E00067,2025-07-01,76644.32,6131.55,1.074,0.02,0
E00067,2025-08-01,79052.24,9486.27,1.012,0.03,0
E00067,2025-10-01,83591.45,4179.57,0.921,0.05,0
E00067,2025-11-01,85072.21,12760.83,0.763,0.02,0
E00068,2023-03-01,104365.01,5218.25,0.929,0.03,0
E00068,2023-12-01,104034.72,10403.47,0.874,0.0,0
E00068,2024-01-01,108333.21,8666.66,1.023,0.03,0
E00068,2024-09-01,121057.12,6052.86,0.9,0.02,1
E00068,2024-12-01,127211.9,12721.19,0.832,0.05,0
E00068,2025-03-01,132105.59,10568.45,0.985,0.04,0
E00068,2025-10-01,139840.16,11187.21,0.925,0.05,0
E00069,2024-08-01,47482.43,7122.36,0.818,0.02,0
E00069,2024-11-01,49258.72,4925.87,0.909,0.04,0
E00069,2024-12-01,55368.94,6644.27,0.894,0.04,1
E00069,2025-02-01,57534.76,2876.74,1.076,0.05,0
E00069,2025-03-01,59600.25,7152.03,1.079,0.03,0
E00069,2025-04-01,60691.01,6069.1,0.842,0.02,0
E00070,2019-09-01,78033.15,11704.97,0.802,0.02,0
E00070,2020-07-01,80730.32,6458.43,1.042,0.03,0
E00070,2021-01-01,83956.69,10074.8,1.082,0.05,0
E00070,2021-07-01,89143.25,10697.19,0.829,0.06,0
E00070,2024-04-01,89760.88,4488.04,1.011,0.02,0
E00070,2024-11-01,94002.89,11280.35,0.84,0.04,0
E00070,2024-12-01,96650.33,7732.03,1.021,0.02,0
E00071,2023-06-01,59670.19,5967.02,0.933,0.02,0
E00071,2024-02-01,60855.64,7302.68,1.018,0.02,0
E00071,2024-07-01,62920.56,6292.06,0.96,0.03,0
E00071,2024-11-01,65233.15,3261.66,0.714,0.05,0
E00071,2025-07-01,68802.57,8256.31,0.953,0.05,0
E00072,2021-07-01,109077.16,10907.72,0.711,0.05,0
E00072,2023-09-01,111617.11,11161.71,0.949,0.02,0
E00072,2025-12-01,119567.01,9565.36,1.211,0.05,0
E00073,2022-08-01,47008.62,3760.69,0.817,0.03,0
E00073,2023-08-01,49596.03,3967.68,0.957,0.05,0
E00073,2024-04-01,50573.73,5057.37,0.939,0.02,0
E00073,2024-05-01,52628.37,5262.84,0.846,0.04,0
E00074,2018-09-01,76308.1,6104.65,0.83,0.04,0
E00074,2019-04-01,78174.64,3908.73,1.013,0.03,0
E00074,2020-11-01,81028.7,4051.43,1.083,0.03,0
E00074,2021-08-01,85230.23,6818.42,1.094,0.03,0
E00074,2021-10-01,91100.38,13665.06,0.952,0.05,0
E00074,2022-03-01,93015.35,4650.77,0.752,0.0,0
E00074,2025-05-01,105926.0,5296.3,0.955,0.04,1
E00074,2025-11-01,108896.2,8711.7,0.951,0.04,0
E00075,2022-09-01,64715.74,3235.79,0.772,0.05,0
E00075,2023-01-01,67029.19,6702.92,0.831,0.04,0
E00075,2024-12-01,68059.5,3402.97,1.227,0.02,0
E00075,2025-04-01,72331.01,8679.72,0.98,0.05,0
E00075,2025-09-01,74935.72,8992.29,0.882,0.04,0
E00076,2024-03-01,42984.69,2149.23,0.94,0.05,0
E00076,2024-06-01,44423.95,6663.59,0.752,0.04,0
E00076,2024-09-01,46734.18,3738.73,1.005,0.04,0
E00076,2024-10-01,48518.66,3881.49,1.031,0.05,0
E00076,2024-11-01,49249.57,7387.44,0.953,0.03,0
E00076,2025-01-01,51607.79,7741.17,0.893,0.05,0
E00076,2025-05-01,53454.66,5345.47,1.171,0.03,0
E00077,2019-10-01,49963.32,3997.07,1.034,0.04,0
E00077,2020-06-01,52365.54,2618.28,1.067,0.04,0
E00077,2021-10-01,59197.57,5919.76,0.777,0.03,1
E00077,2024-10-01,58675.23,4694.02,0.955,0.0,0
E00077,2025-06-01,63313.25,9496.99,0.657,0.0,1
E00077,2025-07-01,71778.44,8613.41,1.113,0.04,1
E00078,2023-01-01,83772.16,10052.66,0.915,0.03,0
E00078,2023-12-01,84588.58,6767.09,0.8,0.0,0
E00078,2024-11-01,87967.97,8796.8,1.131,0.03,0
E00078,2025-04-01,92547.5,9254.75,1.071,0.05,0
E00078,2025-11-01,96357.69,4817.88,1.054,0.03,0
E00079,2020-03-01,164517.22,13161.38,1.385,0.05,0
E00079,2021-10-01,180070.15,14405.61,0.965,0.02,1
E00079,2022-06-01,187376.91,14990.15,0.941,0.05,0
E00079,2025-11-01,191736.84,9586.84,0.907,0.03,0
E00079,2025-12-01,215350.65,21535.07,1.063,0.02,1
E00080,2025-03-01,109598.22,13151.79,1.067,0.02,0
E00080,2025-04-01,112701.65,13524.2,0.968,0.04,0
E00080,2025-05-01,117804.99,14136.6,1.12,0.04,0
E00080,2025-06-01,125397.19,12539.72,1.055,0.04,0
E00080,2025-10-01,134345.8,6717.29,0.824,0.06,0
E00080,2025-11-01,146095.12,11687.61,0.949,0.0,1
E00081,2025-03-01,125223.34,6261.17,1.055,0.04,0
E00081,2025-04-01,130506.38,6525.32,0.955,0.05,0
E00081,2025-07-01,140531.26,21079.69,1.08,0.05,0
E00081,2025-08-01,144956.29,17394.76,0.946,0.03,0
E00081,2025-09-01,152595.07,15259.51,1.155,0.05,0
E00082,2019-10-01,146666.08,17599.93,1.088,0.05,0
E00082,2020-06-01,155963.87,7798.19,1.034,0.05,0
E00082,2020-11-01,160027.9,24004.18,1.01,0.02,0
E00082,2021-10-01,162992.92,13039.43,1.127,0.02,0
E00082,2022-05-01,168127.32,20175.28,0.878,0.02,0
E00082,2025-07-01,173988.23,8699.41,0.955,0.05,0
E00082,2025-11-01,184768.1,9238.41,0.881,0.06,0
E00083,2022-04-01,144203.18,11536.25,0.881,0.04,0
E00083,2022-05-01,159020.46,12721.64,0.785,0.02,1
E00083,2023-02-01,168062.23,25209.34,1.174,0.05,0
E00083,2023-10-01,173933.49,26090.02,0.896,0.02,0
E00083,2025-02-01,180506.02,14440.48,0.901,0.03,0
E00084,2025-02-01,81845.97,9821.52,1.174,0.05,0
E00084,2025-06-01,84368.95,4218.45,0.925,0.03,0
E00084,2025-07-01,96454.86,9645.49,0.832,0.03,1
E00084,2025-08-01,99056.01,9905.6,0.934,0.04,0
E00084,2025-10-01,103013.6,15452.04,0.797,0.04,0
E00084,2025-11-01,118645.7,11864.57,0.973,0.05,1
E00085,2024-06-01,109350.54,10935.05,1.241,0.0,0
E00085,2024-11-01,112673.37,9013.87,0.935,0.03,0
E00085,2024-12-01,119274.06,14312.89,0.798,0.06,0
E00085,2025-02-01,120973.63,12097.36,0.81,0.02,0
E00085,2025-05-01,126287.97,15154.56,1.086,0.04,0
E00085,2025-06-01,129869.3,12986.93,0.802,0.02,0
E00086,2023-06-01,87729.14,10527.5,1.021,0.02,0
E00086,2023-08-01,94169.82,4708.49,0.937,0.06,0
E00086,2025-01-01,94739.73,11368.77,0.838,0.02,0
E00086,2025-03-01,99292.42,11915.09,0.941,0.05,0
E00086,2025-07-01,104466.72,5223.34,1.026,0.05,0
E00087,2022-12-01,100715.13,5035.76,0.966,0.0,0
E00087,2023-06-01,104711.48,8376.92,0.926,0.04,0
E00087,2023-09-01,104529.59,10452.96,0.966,0.0,0
E00087,2023-10-01,108022.37,12962.68,0.869,0.05,0
E00088,2018-11-01,105782.07,8462.57,0.903,0.02,0
E00088,2019-04-01,111607.95,11160.8,1.042,0.06,0
E00088,2019-11-01,115205.34,11520.53,0.825,0.04,0
E00088,2019-12-01,118439.01,14212.68,1.055,0.03,0
E00088,2020-08-01,120850.9,18127.64,1.043,0.02,0
E00088,2022-03-01,122422.82,12242.28,1.09,0.02,0
E00088,2023-07-01,139511.08,16741.33,1.042,0.03,1
E00089,2023-08-01,73106.87,5848.55,0.826,0.04,0
E00089,2024-04-01,71993.54,5759.48,1.016,0.0,0
E00089,2024-11-01,73441.46,7344.15,1.109,0.03,0
E00089,2025-12-01,75531.95,3776.6,0.851,0.02,0
E00090,2022-01-01,130306.03,19545.9,0.908,0.03,0
E00090,2022-04-01,133831.81,10706.54,1.038,0.03,0
E00090,2022-09-01,140346.06,21051.91,1.196,0.05,0
E00090,2023-01-01,159474.88,7973.74,1.065,0.04,1
E00090,2024-02-01,164623.45,24693.52,0.976,0.03,0
E00090,2024-03-01,168314.28,16831.43,1.014,0.02,0
E00091,2019-05-01,87098.55,13064.78,0.949,0.04,0
E00091,2019-08-01,90548.35,7243.87,0.981,0.03,0
E00091,2021-08-01,93641.67,4682.08,1.15,0.05,0
E00091,2025-05-01,96397.31,7711.78,0.973,0.03,0
E00092,2019-12-01,64220.62,7706.47,1.027,0.02,0
E00092,2020-08-01,68346.55,5467.72,1.104,0.04,0
E00092,2022-11-01,72469.82,8696.38,0.932,0.05,0
